frame,minutes,is_stim_onset,in_analysis_window
0,0.0,False,True
1,0.2833333333333333,False,True
2,0.6166666666666667,False,True
3,0.9333333333333333,False,True
4,1.2833333333333334,False,True
5,1.6166666666666667,False,True
6,1.9333333333333333,False,True
7,2.2666666666666666,False,True
8,2.6,False,True
9,2.9166666666666665,False,True
10,3.25,False,True
11,3.566666666666667,False,True
12,3.8833333333333333,False,True
13,4.216666666666667,False,True
14,4.533333333333333,False,True
15,4.866666666666666,False,True
16,5.2,False,True
17,5.516666666666667,False,True
18,5.85,False,True
19,6.166666666666667,False,True
20,6.483333333333333,False,True
21,6.816666666666666,False,True
22,7.133333333333334,False,True
23,7.466666666666667,False,True
24,7.783333333333333,True,True
25,8.116666666666667,False,True
26,8.466666666666667,False,True
27,8.8,False,True
28,9.133333333333333,False,True
29,9.45,False,True
30,9.783333333333333,False,True
31,10.116666666666667,False,True
32,10.45,False,True
33,10.766666666666667,False,True
34,11.1,False,True
35,11.416666666666666,False,True
36,11.75,False,True
37,12.083333333333334,False,True
38,12.4,False,True
39,12.733333333333333,False,True
40,13.066666666666666,False,True
41,13.383333333333333,True,True
42,13.716666666666667,False,True
43,14.05,False,True
44,14.4,False,True
45,14.716666666666667,False,True
46,15.033333333333333,False,True
47,15.35,False,True
48,15.683333333333334,False,True
49,16.0,False,True
50,16.316666666666666,False,True
51,16.666666666666668,False,True
52,16.983333333333334,False,True
53,17.316666666666666,False,True
54,17.65,False,True
55,17.966666666666665,False,True
56,18.3,False,True
57,18.616666666666667,False,True
58,18.95,False,True
59,19.283333333333335,False,True
60,19.6,False,True
61,19.933333333333334,False,True
62,20.25,False,True
63,20.583333333333332,False,True
64,20.9,False,True
65,21.216666666666665,False,True
66,21.55,False,True
67,21.866666666666667,False,True
68,22.183333333333334,False,True
69,22.516666666666666,False,True
70,22.833333333333332,False,True
71,23.15,False,True
72,23.483333333333334,False,True
73,23.8,False,True
74,24.133333333333333,False,True
75,24.45,False,True
76,24.766666666666666,False,True
77,25.1,False,True
78,25.416666666666668,False,True
79,25.75,False,True
80,26.066666666666666,False,True
81,26.383333333333333,False,True
82,26.716666666666665,False,True
83,27.033333333333335,False,True
84,27.366666666666667,False,True
85,27.683333333333334,False,True
86,28.0,False,True
87,28.333333333333332,False,True
88,28.65,False,True
89,28.983333333333334,False,True
90,29.316666666666666,False,True
91,29.633333333333333,False,True
92,29.966666666666665,False,True
93,30.3,False,False
94,30.616666666666667,False,False
95,30.933333333333334,False,False
96,31.266666666666666,False,False
97,31.6,False,False
98,31.933333333333334,False,False
99,32.25,False,False
100,32.583333333333336,False,False
101,32.9,False,False
102,33.233333333333334,False,False
103,33.56666666666667,False,False
104,33.88333333333333,False,False
105,34.21666666666667,False,False
106,34.53333333333333,False,False
107,34.86666666666667,False,False
108,35.2,False,False
109,35.516666666666666,False,False
110,35.833333333333336,False,False
111,36.166666666666664,False,False
112,36.483333333333334,False,False
113,36.81666666666667,False,False
114,37.13333333333333,False,False
115,37.45,False,False
116,37.78333333333333,False,False
117,37.78333333333333,False,False
118,37.78333333333333,False,False
119,37.78333333333333,False,False
