cell_id,f0,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23,f24,f25,f26,f27,f28,f29,f30,f31,f32,f33,f34,f35,f36,f37,f38,f39,f40,f41,f42,f43,f44,f45,f46,f47,f48,f49,f50,f51,f52,f53,f54,f55,f56,f57,f58,f59,f60,f61,f62,f63,f64,f65,f66,f67,f68,f69,f70,f71,f72,f73,f74,f75,f76,f77,f78,f79,f80,f81,f82,f83,f84,f85,f86,f87,f88,f89,f90,f91,f92,f93,f94,f95,f96,f97,f98,f99,f100,f101,f102,f103,f104,f105,f106,f107,f108,f109,f110,f111,f112,f113,f114,f115,f116,f117,f118,f119
0,66.50127186009539,65.29976152623212,65.59133545310016,65.45190779014308,65.60389507154213,65.11629570747218,65.61096979332274,64.9845786963434,65.29260731319555,65.25898251192369,64.99904610492845,65.06208267090621,65.11804451510334,65.25715421303657,65.12591414944356,65.35866454689985,65.30111287758346,65.41717011128776,65.19475357710652,65.20087440381558,65.37599364069952,65.03275039745628,65.26597774244833,65.00969793322734,64.977106518283,65.04713831478537,64.38473767885533,62.76899841017488,62.625357710651826,63.65890302066773,63.79952305246423,64.45190779014308,64.02893481717011,64.01160572337042,64.4968998410175,64.66947535771065,64.37909379968204,64.22575516693163,64.33767885532592,64.670826709062,64.5031001589825,65.06430842607313,64.7285373608903,63.22885532591415,61.39737678855326,62.296025437201905,62.81931637519873,63.55310015898251,63.89793322734499,63.958982511923686,63.74610492845787,64.0195548489666,64.10794912559618,63.92329093799682,63.96939586645469,64.17337042925278,64.09411764705882,64.29379968203497,64.291653418124,64.32996820349761,64.339586645469,64.19244833068362,64.70961844197139,64.49626391096979,64.03275039745628,64.6070747217806,64.77424483306837,64.21494435612082,64.57154213036566,64.60405405405406,64.73489666136724,64.47925278219395,64.58195548489667,64.44554848966614,64.58887122416535,64.25278219395867,64.55731319554849,64.45826709062003,64.38052464228934,64.50119236883943,64.44570747217806,64.2366454689984,64.58155802861685,64.30556438791733,64.5170906200318,64.65405405405406,64.50540540540541,64.18473767885533,64.32003179650239,64.28767885532591,64.32694753577107,64.20492845786963,64.45031796502384,63.83179650238474,64.35453100158982,64.61343402225755,64.19157392686805,63.896104928457866,64.28473767885532,64.32098569157392,64.33211446740859,64.30794912559618,64.25325914149444,64.36033386327505,64.24197138314786,64.0077106518283,64.2781399046105,64.36263910969794,64.3654213036566,63.98012718600954,64.17949125596185,64.07655007949126,64.3724960254372,63.98441971383148,64.21987281399046,64.08243243243243,64.52337042925278,64.23616852146264,64.0543720190779,64.58640699523052
1,62.2288193032398,62.000948895214854,62.12823641046496,62.22163481089874,61.734309339840046,61.8235054900366,62.05747593872848,61.65094211739189,62.0944828521079,61.60417513894537,61.77619628575302,61.73078487189915,61.71628033075776,61.90782160769961,61.480683204554694,61.62965975328724,61.6997424427274,61.77985631015318,61.5755727260404,61.54846143418734,61.418462789751935,61.32723329266639,61.61379964755321,61.28602412904975,61.20089467263115,61.33075776060729,61.64728209299173,60.913921648366546,60.11142740951606,59.827029957977494,59.8262166192219,60.336722244814965,60.11264741764945,60.01626677511183,60.79924088382811,60.877728073742716,60.602277348515656,60.38023586823912,60.95025077944964,61.15521214585875,60.832181103429576,61.63860647959875,61.24345940084045,61.25064389318151,60.30500203334689,59.66354886810357,59.1893723735936,59.90619493018843,59.73674935610682,59.713026975735396,60.16822556594822,60.08024942388505,60.629117527450184,60.51999457774163,60.87732140436492,60.927206181374544,61.04974922055036,60.99281550765894,61.10451403009353,60.987528805747594,61.3104242917175,61.082553883692555,61.26257286159686,61.43012064524875,60.9312728751525,61.41656499932222,61.53097465094212,61.055578148298764,61.11359631286431,61.49193439067371,61.74366273552935,61.11712078080521,61.1663277755185,61.04459807509828,61.05300257557273,60.99511996746645,61.220279246306085,61.079707198047984,61.01342008946726,60.9773620713027,61.46644977633184,61.262979530974654,61.156432153992135,61.21702589128372,61.03483801003118,61.26691066829334,61.36681577877186,61.014504541141385,61.01491121051918,60.98291988613257,61.13975870950251,61.18245899417107,61.17825674393385,60.72726040395825,61.16334553341467,61.2092991731056,61.113867425782836,60.965704215805886,60.82052324793276,60.85183679002304,61.14219872576928,61.03050020333469,60.843567846007865,61.02833129998645,60.91039718042565,60.48718991459943,60.86241019384574,60.702860241290495,60.66788667480005,60.70746916090552,60.77456960824183,60.65961773078487,60.87447471872035,60.473769825132166,60.68971126474177,60.63670868916904,60.80913650535448,60.68618679680087,60.460214179205636,60.84899010437847
2,61.94334427618342,61.79641003918246,61.77856613364397,61.669543577252995,61.92640050831304,61.62829609234353,61.98670973207667,61.43106004447739,61.80567616223658,61.804458328920894,61.658741925235624,61.857778248437995,61.776448162660174,61.98077941332204,61.68664619294716,61.93868474001906,61.89510748702743,61.943450174732604,62.04998411521762,62.015461188181725,61.768082177274174,61.52255639097744,61.88303505241978,61.586148469765966,61.504871333262734,61.611987715768294,60.85290691517526,59.808959017261465,59.65847717886265,60.192629460976384,60.44742137032723,61.2531504818384,60.92687705178439,60.89362490733877,61.27332415545907,61.407709414381024,61.26601715556497,61.05676162236578,61.273483003282855,61.3984962406015,61.220163083765755,61.614423382399664,61.34009319072329,60.3609022556391,58.91565180557026,59.23890712697236,59.828179603939425,60.41459282007836,60.815312930212855,60.61659430265805,60.657365244096155,60.64460446891878,60.97251932648523,60.952027957216984,60.90606798686858,60.984697659642066,60.9225881605422,60.90442655935614,61.017738006989305,60.9686540294398,60.95700518902891,60.851212538388225,61.24520809064916,61.154241236895054,60.820978502594514,61.17526209890924,61.375357407603516,60.905909139044795,61.24806735147728,61.10330403473473,61.17526209890924,60.98109710896961,60.93540188499418,61.01069575346818,61.0428889124219,61.13030816477814,61.05808535423065,61.03462882558509,60.90940379116806,61.113311447633166,61.373345335168906,61.04897807900032,60.989780790003174,60.93333686328497,61.08334215821243,60.96076458752515,61.01747326061633,60.78439055384941,61.02869850683046,60.947474319601824,60.920999682304355,60.96161177591867,61.06295668749338,60.6380917081436,60.950598326802925,61.15318225140316,60.78264322778778,60.54320660806947,60.93010695753468,60.86233188605316,61.252673938367046,60.937096261781214,60.82886794450916,61.044424441385154,60.978873239436616,60.53611140527375,60.77448903950016,60.77252991634015,60.95165731229482,60.662077729535106,60.82166684316425,60.800593031875465,61.075082071375626,60.56046807158742,60.79445091602245,60.774171343852586,60.78878534364079,60.92391189240708,60.614211585301284,61.1078047230753
3,60.5763356916321,60.36701634545011,60.46982190778239,60.463820444010736,60.52800683093437,60.31463771651622,60.6042449377897,60.20017077335935,60.51495486704074,60.40334227860454,60.35820931934618,60.36584532812881,60.42756769943889,60.45574530373262,60.24383996096609,60.453818004391316,60.49992681141742,60.5814101000244,60.58855818492315,60.5635764820688,60.375018297145644,60.14623078799707,60.52693339838985,60.25181751646743,59.99268114174189,60.1833373993657,60.208538667967794,59.88084898755794,59.32678702122469,59.62037082215174,59.625128080019515,60.203708221517445,59.853622834837765,59.65103683825323,60.18209319346182,60.280190290314714,60.02500609904855,59.85169553549646,60.142742132227376,60.14623078799707,59.959941449133936,60.41639424249817,60.11829714564528,59.838497194437664,59.02220053671627,59.05933154427909,59.1174432788485,59.63193461819956,59.714662112710414,59.52120029275433,59.59480361063674,59.58858258111734,59.918077579897535,59.63047084654794,59.65681873627714,59.95245181751647,59.95457428641132,59.79719443766773,59.88555745303733,59.81771163698463,59.820785557453036,59.57643327640888,60.00046352768968,59.97777506708953,59.67096852890949,60.04410831910222,60.05418394730422,59.67321297877531,60.024152232251765,59.856867528665525,60.155525737984874,59.70522078555745,59.80307392046841,59.87213954623079,59.85576969992681,59.81066113686265,59.95574530373262,59.87716516223469,59.76872407904367,59.819980483044645,60.05445230544035,59.86147840936814,59.90197609172969,59.8061966333252,59.92925103683825,59.85454989021713,59.92771407660405,59.761649182727496,59.87809221761405,59.742864113198344,59.891778482556724,59.87555501341791,59.95616003903391,59.5934130275677,59.90131739448646,60.00200048792389,59.7720907538424,59.552110270797755,59.63344718223957,59.72049280312271,59.92942181019761,59.78929007074896,59.646181995608686,59.91734569407173,59.79799951207612,59.55208587460356,59.79555989265675,59.73305684313247,59.883581361307634,59.47004147353013,59.73620395218346,59.7019516955355,60.00744083922908,59.46199072944621,59.71741888265431,59.717589656013665,59.924054647474996,59.84986582093193,59.70400097584777,60.06247865333008
4,64.49282521759586,63.90411667842861,63.79670665725712,63.91394965890379,63.86939543636792,63.60621030345801,64.08195718654434,63.57285344624794,63.96320865678664,63.77685250529287,63.651187955775114,63.535497529992945,63.846953657962835,63.9020936250294,63.58240414020231,63.84601270289344,63.86064455422254,63.97737003058104,63.79505998588567,63.7338508586215,63.72095977417079,63.49875323453305,63.75803340390496,63.61477299458951,63.466807809927076,63.478663843801456,63.3550223476829,62.01872500588097,61.189696541990116,61.53761467889908,61.809080216419666,62.54594213126323,62.436367913432136,62.42277111267937,63.1403904963538,63.15088214537756,62.91959538932016,62.86031521994825,62.95483415666902,63.15944483650906,63.00522230063515,63.50416372618208,63.14246059750647,62.659139026111504,60.64431898376853,60.64191954834157,60.88007527640555,61.78183956716067,62.21392613502705,62.12552340625735,62.21947776993648,62.30228181604328,62.587203011056225,62.50646906610209,62.53620324629499,62.68769701246765,62.833639143730885,62.590778640319925,62.79007292401788,62.528863796753704,62.57003058103975,62.54330745706893,63.088214537755825,63.00710421077394,62.38997882851094,62.83914373088685,63.15563396847801,62.47367678193366,62.82860503410962,62.81430251705481,62.819807104210774,62.582215949188424,62.631804281345566,62.61500823335686,62.766078569748295,62.64761232651141,62.75248176899553,62.49611856033874,62.64493060456363,62.59124911785462,62.722324159021404,62.52392378263938,62.63434486003293,62.58828510938603,62.55450482239473,62.36692542931075,62.62103034580099,62.411526699600095,62.48478005175253,62.40414020230534,62.49023759115502,62.526040931545516,62.602634674194306,62.25829216654905,62.49423665019995,62.663420371677255,62.493389790637494,62.21124441307928,62.368430957421786,62.30289343683839,62.43824982357093,62.45288167490003,62.38974358974359,62.370501058574455,62.423759115502236,62.151070336391435,62.43425076452599,62.15483415666902,62.42526464361327,61.98819101387909,62.46158550929193,62.379157845212895,62.42248882615855,62.086285579863564,62.26751352622912,62.2076217360621,62.242531169136676,62.302517054810636,62.0969654199012,62.48214537755822
5,57.83626373626374,57.60959040959041,57.71158841158841,57.555644355644354,57.592207792207795,57.30549450549451,57.87342657342657,57.35404595404595,57.666033966033964,57.50479520479521,57.503796203796206,57.532467532467535,57.68501498501499,57.76573426573427,57.64945054945055,57.55024975024975,57.74275724275724,57.81898101898102,57.707692307692305,57.71608391608392,57.564835164835166,57.51618381618382,57.59150849150849,57.49520479520479,57.17762237762238,57.21028971028971,57.467732267732266,57.392607392607395,56.96973026973027,56.96813186813187,56.96713286713287,57.28671328671329,56.98171828171828,56.85784215784216,57.37902097902098,57.38431568431569,57.22637362637363,56.90529470529471,57.11198801198801,57.31898101898102,57.18331668331668,57.52677322677323,57.215384615384615,57.11938061938062,56.56013986013986,56.833666333666336,56.856843156843155,56.97872127872128,56.60669330669331,56.67932067932068,56.87052947052947,56.72607392607392,57.03766233766234,56.98001998001998,56.84975024975025,56.96133866133866,56.99060939060939,56.87612387612388,56.92357642357642,56.86303696303696,57.03066933066933,56.84155844155844,57.22977022977023,57.076323676323675,56.72907092907093,57.08031968031968,57.2053946053946,56.81668331668332,57.130969030969034,57.11278721278721,57.16533466533467,56.97922077922078,57.02847152847153,56.94195804195804,57.04835164835165,57.05254745254745,56.952847152847156,56.96413586413586,56.984515484515484,57.17952047952048,57.2006993006993,56.897702297702295,57.03046953046953,57.13996003996004,57.004095904095905,56.804795204795205,56.95074925074925,56.78641358641359,56.911988011988015,56.86803196803197,56.93866133866134,57.032267732267734,57.15944055944056,56.65254745254745,56.833966033966036,56.855444555444556,56.78311688311688,56.82017982017982,56.78261738261738,56.97972027972028,56.792307692307695,56.90869130869131,56.91058941058941,57.04135864135864,56.77282717282717,56.8025974025974,57.0014985014985,56.65014985014985,56.62477522477523,56.65504495504496,56.7977022977023,56.81528471528472,57.08881118881119,56.64175824175824,56.867732267732265,56.776723276723274,56.98031968031968,56.81318681318681,56.66803196803197,57.104195804195804
6,59.553016056704756,58.47200925791986,59.034572544481414,58.840879502386805,58.960075220598874,58.62736872558947,59.30768118038478,58.52046868219297,58.823231592651524,59.01359756979603,58.729495154057574,58.75061478374078,58.865036887024445,58.987848980182264,58.80341385794879,59.13105742803414,58.97613192535802,59.16100101258498,58.8686532619702,59.20671199189932,58.879068421813976,58.89555909156661,58.981773470273396,58.86662809200058,58.53898452191523,58.68957037465645,59.04585563431217,58.697671054534936,58.550122956748154,58.56343121654853,58.48444958773326,58.83465933748011,58.71083465933748,58.24475625632866,58.84449587733256,58.730797049038046,58.57008534644872,58.539997106900046,58.410820193837694,58.58643136120353,58.5508462317373,58.81035729784464,58.53840590192391,58.30218429046724,57.663243165051355,58.00853464487198,58.06437147403443,58.573991031390136,58.58729929119051,58.33256184001157,58.400260378996094,58.332706495009404,58.70389121944163,58.353102849703454,58.34630406480544,58.381599884276,58.52422971213655,58.27267467090988,58.505569217416465,58.35339215969912,58.15810791262838,58.03327064950094,58.37205265441921,58.493996817590045,58.16534066251989,58.62404166063938,58.535368146969475,58.01417618978736,58.31071893533922,58.49182699262259,58.463763923043544,58.202083031968755,58.27976276580356,58.19861131202083,58.362216114566756,58.24070591638941,58.456820483147695,58.24012729639809,58.11847244322291,58.29321568060176,58.381455229278174,58.23593230146101,58.20685664689715,58.12527122812093,58.39519745407204,58.10530883842037,58.294951540575724,57.98119485028208,58.15550412266744,58.04701287429481,58.08766092868509,58.10617676840735,58.158252567626214,57.91349631129756,58.23101403153479,58.286416895703745,58.022276869665845,57.87660928685086,57.92579198611312,57.95342109069868,58.29553016056705,58.14899464776508,57.82930710256039,58.244177636337334,58.11847244322291,57.69275278460871,58.12237812816433,57.914219586286706,58.00564154491538,57.799942138000866,57.9175466512368,57.912917691306234,58.20917112686244,57.96716331549255,58.192246492116304,57.97063503544047,58.06017647909735,58.14581223781282,57.99797483003038,58.276580355851294
7,61.91107325383305,61.9206132879046,61.74971039182283,61.86357751277683,61.86626916524702,61.573560477001706,62.19952299829642,61.614650766609884,61.87775127768313,61.80074957410562,61.667666098807494,61.70776831345826,61.75764906303237,61.875604770017034,61.678977853492334,61.80681431005111,61.79253833049404,61.920034071550255,61.92419080068143,61.88872231686542,61.80074957410562,61.608381601362865,61.79379897785349,61.62954003407155,61.58330494037479,61.52160136286201,61.559727427597956,60.54017035775128,59.865281090289606,60.23005110732538,60.51853492333901,61.00020442930153,60.746166950596255,60.68926746166951,61.157172061328794,61.28156729131175,61.155298126064736,60.94068143100511,61.16316865417377,61.25618398637138,61.16323679727427,61.687597955706984,61.40691652470188,60.96109028960818,59.570051107325384,59.395059625212944,59.62487223168654,60.09318568994889,60.45090289608177,60.49168654173765,60.57260647359455,60.63291311754685,60.82872231686542,60.666269165247016,60.71911413969335,60.99178875638842,60.994923339011926,60.87274275979557,60.95713798977854,60.81151618398637,60.930562180579216,60.64780238500852,61.164701873935265,61.14252129471891,60.70136286201022,61.15165247018739,61.27039182282794,60.78095400340715,61.06596252129472,61.05495741056218,61.20098807495741,60.930425894378196,60.96068143100511,61.0627597955707,60.930562180579216,60.94967632027257,61.07124361158433,60.97771720613288,60.90211243611584,60.96425894378194,61.01097103918228,61.00565587734242,61.11052810902896,60.978568994889265,60.94408858603067,60.92166950596252,60.96732538330494,60.731243611584325,60.89710391822828,60.8424531516184,60.88596252129472,60.86129471890971,61.06466780238501,60.64855195911414,61.007291311754685,61.03706984667802,60.770323679727426,60.58770017035775,60.734684838160135,60.81114139693356,60.89301533219761,60.87253833049404,60.835604770017035,60.894310051107325,60.83148211243611,60.54633730834753,60.766132879046,60.67526405451448,60.77390119250426,60.522350936967634,60.71028960817717,60.81461669505963,60.88620102214651,60.553867120954,60.620408858603064,60.61884156729131,60.65533219761499,60.82609880749574,60.683679727427595,60.994105621805794
8,58.70330833700926,58.74177326863696,58.75024261138068,58.83043670048522,58.68760476400529,58.60158800176445,59.10842523158359,58.466166740185265,58.968239964711074,58.5645346272607,58.650904278782534,58.5985002205558,58.628936921041024,58.73480370533745,58.483987648875164,58.62593736215263,58.74247904719894,58.86881340979268,58.888222320247024,58.37423908248787,58.541420379355976,58.297573886193206,58.34644905161006,58.41799735333039,58.22743714159682,58.155094838994266,58.271460079400086,58.17247463608293,57.81826202029114,57.906837229819146,57.98614909572122,58.27940008822232,58.06307895897662,57.85275694750772,58.32765769739744,58.63467137185708,58.28195853550948,58.001852668725185,58.18906043228937,58.250816056462284,57.997088663431846,58.58341420379356,58.22796647551831,58.29395677106308,57.73215703573004,57.785531539479486,57.70092633436259,58.101455668284075,58.12562858403176,57.84119982355536,57.82073224525805,57.820202911336565,58.18103220114689,58.019673577415084,57.995412439347156,58.22020291133657,58.287957653286284,58.10930745478606,58.11548301720335,58.051698279664755,58.056197617997356,57.90445522717248,58.46951918835465,58.51918835465373,58.02911336568152,58.26034406704896,58.59038376709307,58.012880458756065,58.38747243052492,58.38314953683282,58.348213498015,58.0326422584914,58.043052492280545,58.26687251874724,58.388531098367885,58.136832818703134,58.177326863696514,58.27154830172034,58.114865460961624,58.08998676665196,58.188001764446405,57.982002646669606,58.20194089104543,58.04234671371857,58.28681076312307,57.84234671371857,58.00970445522717,57.937273930304364,58.172651080723426,58.177415086016765,58.01340979267755,57.98456109395677,58.15218350242611,57.89977944419938,58.123070136744595,58.339391265990294,57.888575209528014,57.59073665637406,58.011468901632114,58.09245699161888,58.015615350683724,58.05690339655933,57.768416409351566,58.08275253639171,57.814027348919275,57.63634759594177,57.884075871195414,57.67472430524923,57.883458314953685,57.2801058667843,57.84755183061314,57.90666078517865,57.831936479929425,57.534891927657696,57.777591530657254,57.70013233348037,57.740714600794,57.95112483458315,57.609086898985446,58.280723423026025
9,58.47092030983327,58.1705395825128,58.21307601417881,58.21622686096889,58.288039910726006,57.96744124983589,58.31764474202442,57.833530261257714,58.2800315084679,58.29178154128922,58.10312458973349,58.05914401995536,57.99468294604175,58.19390836287252,57.99599579887094,58.34317972955232,58.24163056321386,58.19896284626493,58.185703032690036,58.186490744387555,58.10470001312853,57.848102927661806,58.12301431009584,57.875869764999344,57.66148089799133,57.806485492976236,57.76618091111986,57.675725351188134,57.437245634764345,57.62399894971774,57.64717080215308,58.17697256137587,57.755021662071684,57.40554023893922,57.79617959826703,57.95083366154654,57.86438230274386,57.581068662202966,57.679729552317184,57.80287514769594,57.551135617697255,58.04706577392674,57.74248391755284,57.60312458973349,56.950899304188,57.28364185374819,57.31127740580281,57.67920441118551,57.722003413417355,57.26401470395169,57.44486018117369,57.38059603518445,57.51785479847709,57.502100564526714,57.29486674543784,57.55317053958251,57.55284232637521,57.4008139687541,57.378889326506496,57.27642116318761,57.44623867664435,57.13167913876855,57.54883812524616,57.6731652881712,57.159577261388996,57.54791912826572,57.77602730733885,57.143560456872784,57.62925036103453,57.568924773532885,57.65301299724301,57.17060522515426,57.48306419850335,57.531967966390965,57.398910332151765,57.35059734803728,57.45949849021925,57.36247866614153,57.19988184324537,57.23454115793619,57.48221084416437,57.30024944203755,57.57863988446895,57.30484442693974,57.28180385978732,57.23539451227517,57.39589077064461,57.23605093868977,57.446501247210186,57.26552448470527,57.28547984770907,57.33582775370881,57.28127871865564,56.93678613627412,57.21202573191545,57.481160561901014,57.16279375082053,57.12065117500328,57.142575817250886,57.21301037153735,57.35978731784167,57.276683733753444,57.137193120651176,57.41453328081922,57.30169358014967,56.858146251805174,57.0968885387948,57.26250492319811,57.19824077720887,56.769594328475776,57.161940396481555,57.15938033346462,57.33149533937246,56.9153866351582,57.113299199159776,57.189641591177626,57.12800315084679,57.32558750164107,56.97164237888933,57.45949849021925
