cell_id,frame,x,y
0,0,1298.0,1649.0
0,1,1298.0,1649.0
0,2,1298.0,1649.0
0,3,1298.0,1649.0
0,4,1298.0,1649.0
0,5,1298.0,1649.0
0,6,1298.0,1649.0
0,7,1298.0,1649.0
0,8,1298.0,1649.0
0,9,1298.0,1649.0
0,10,1298.0,1649.0
0,11,1298.0,1649.0
0,12,1298.0,1649.0
0,13,1298.0,1649.0
0,14,1298.0,1649.0
0,15,1298.0,1649.0
0,16,1298.0,1649.0
0,17,1298.0,1649.0
0,18,1298.0,1649.0
0,19,1298.0,1649.0
0,20,1298.0,1649.0
0,21,1298.0,1649.0
0,22,1298.0,1649.0
0,23,1298.0,1649.0
0,24,1298.0,1649.0
0,25,1298.0,1649.0
0,26,1298.0,1649.0
0,27,1298.0,1649.0
0,28,1298.0,1649.0
0,29,1298.0,1649.0
0,30,1298.0,1649.0
0,31,1298.0,1649.0
0,32,1298.0,1649.0
0,33,1298.0,1649.0
0,34,1298.0,1649.0
0,35,1298.0,1649.0
0,36,1298.0,1649.0
0,37,1298.0,1649.0
0,38,1298.0,1649.0
0,39,1298.0,1649.0
0,40,1298.0,1649.0
0,41,1298.0,1649.0
0,42,1298.0,1649.0
0,43,1298.0,1649.0
0,44,1298.0,1649.0
0,45,1298.0,1649.0
0,46,1298.0,1649.0
0,47,1298.0,1649.0
0,48,1298.0,1649.0
0,49,1298.0,1649.0
0,50,1298.0,1649.0
0,51,1298.0,1649.0
0,52,1298.0,1649.0
0,53,1298.0,1649.0
0,54,1298.0,1649.0
0,55,1298.0,1649.0
0,56,1298.0,1649.0
0,57,1298.0,1649.0
0,58,1298.0,1649.0
0,59,1298.0,1649.0
0,60,1298.0,1649.0
0,61,1298.0,1649.0
0,62,1298.0,1649.0
0,63,1298.0,1649.0
0,64,1298.0,1649.0
0,65,1298.0,1649.0
0,66,1298.0,1649.0
0,67,1298.0,1649.0
0,68,1298.0,1649.0
0,69,1298.0,1649.0
0,70,1298.0,1649.0
0,71,1298.0,1649.0
0,72,1298.0,1649.0
0,73,1298.0,1649.0
0,74,1298.0,1649.0
0,75,1298.0,1649.0
0,76,1298.0,1649.0
0,77,1298.0,1649.0
0,78,1298.0,1649.0
0,79,1298.0,1649.0
0,80,1298.0,1649.0
0,81,1298.0,1649.0
0,82,1298.0,1649.0
0,83,1298.0,1649.0
0,84,1298.0,1649.0
0,85,1298.0,1649.0
0,86,1298.0,1649.0
0,87,1298.0,1649.0
0,88,1298.0,1649.0
0,89,1298.0,1649.0
0,90,1298.0,1649.0
0,91,1298.0,1649.0
0,92,1298.0,1649.0
0,93,1298.0,1649.0
0,94,1298.0,1649.0
0,95,1298.0,1649.0
0,96,1298.0,1649.0
0,97,1298.0,1649.0
0,98,1298.0,1649.0
0,99,1298.0,1649.0
0,100,1298.0,1649.0
0,101,1298.0,1649.0
0,102,1298.0,1649.0
0,103,1298.0,1649.0
0,104,1298.0,1649.0
0,105,1298.0,1649.0
0,106,1298.0,1649.0
0,107,1298.0,1649.0
0,108,1298.0,1649.0
0,109,1298.0,1649.0
0,110,1298.0,1649.0
0,111,1298.0,1649.0
0,112,1298.0,1649.0
0,113,1298.0,1649.0
0,114,1298.0,1649.0
0,115,1298.0,1649.0
0,116,1298.0,1649.0
0,117,1298.0,1649.0
0,118,1298.0,1649.0
0,119,1298.0,1649.0
1,0,1903.0,2855.0
1,1,1903.0,2855.0
1,2,1903.0,2855.0
1,3,1903.0,2855.0
1,4,1903.0,2855.0
1,5,1903.0,2855.0
1,6,1903.0,2855.0
1,7,1903.0,2855.0
1,8,1903.0,2855.0
1,9,1903.0,2855.0
1,10,1903.0,2855.0
1,11,1903.0,2855.0
1,12,1903.0,2855.0
1,13,1903.0,2855.0
1,14,1903.0,2855.0
1,15,1903.0,2855.0
1,16,1903.0,2855.0
1,17,1903.0,2855.0
1,18,1903.0,2855.0
1,19,1903.0,2855.0
1,20,1903.0,2855.0
1,21,1903.0,2855.0
1,22,1903.0,2855.0
1,23,1903.0,2855.0
1,24,1903.0,2855.0
1,25,1903.0,2855.0
1,26,1903.0,2855.0
1,27,1903.0,2855.0
1,28,1903.0,2855.0
1,29,1903.0,2855.0
1,30,1903.0,2855.0
1,31,1903.0,2855.0
1,32,1903.0,2855.0
1,33,1903.0,2855.0
1,34,1903.0,2855.0
1,35,1903.0,2855.0
1,36,1903.0,2855.0
1,37,1903.0,2855.0
1,38,1903.0,2855.0
1,39,1903.0,2855.0
1,40,1903.0,2855.0
1,41,1903.0,2855.0
1,42,1903.0,2855.0
1,43,1903.0,2855.0
1,44,1903.0,2855.0
1,45,1903.0,2855.0
1,46,1903.0,2855.0
1,47,1903.0,2855.0
1,48,1903.0,2855.0
1,49,1903.0,2855.0
1,50,1903.0,2855.0
1,51,1903.0,2855.0
1,52,1903.0,2855.0
1,53,1903.0,2855.0
1,54,1903.0,2855.0
1,55,1903.0,2855.0
1,56,1903.0,2855.0
1,57,1903.0,2855.0
1,58,1903.0,2855.0
1,59,1903.0,2855.0
1,60,1903.0,2855.0
1,61,1903.0,2855.0
1,62,1903.0,2855.0
1,63,1903.0,2855.0
1,64,1903.0,2855.0
1,65,1903.0,2855.0
1,66,1903.0,2855.0
1,67,1903.0,2855.0
1,68,1903.0,2855.0
1,69,1903.0,2855.0
1,70,1903.0,2855.0
1,71,1903.0,2855.0
1,72,1903.0,2855.0
1,73,1903.0,2855.0
1,74,1903.0,2855.0
1,75,1903.0,2855.0
1,76,1903.0,2855.0
1,77,1903.0,2855.0
1,78,1903.0,2855.0
1,79,1903.0,2855.0
1,80,1903.0,2855.0
1,81,1903.0,2855.0
1,82,1903.0,2855.0
1,83,1903.0,2855.0
1,84,1903.0,2855.0
1,85,1903.0,2855.0
1,86,1903.0,2855.0
1,87,1903.0,2855.0
1,88,1903.0,2855.0
1,89,1903.0,2855.0
1,90,1903.0,2855.0
1,91,1903.0,2855.0
1,92,1903.0,2855.0
1,93,1903.0,2855.0
1,94,1903.0,2855.0
1,95,1903.0,2855.0
1,96,1903.0,2855.0
1,97,1903.0,2855.0
1,98,1903.0,2855.0
1,99,1903.0,2855.0
1,100,1903.0,2855.0
1,101,1903.0,2855.0
1,102,1903.0,2855.0
1,103,1903.0,2855.0
1,104,1903.0,2855.0
1,105,1903.0,2855.0
1,106,1903.0,2855.0
1,107,1903.0,2855.0
1,108,1903.0,2855.0
1,109,1903.0,2855.0
1,110,1903.0,2855.0
1,111,1903.0,2855.0
1,112,1903.0,2855.0
1,113,1903.0,2855.0
1,114,1903.0,2855.0
1,115,1903.0,2855.0
1,116,1903.0,2855.0
1,117,1903.0,2855.0
1,118,1903.0,2855.0
1,119,1903.0,2855.0
2,0,2172.0,2068.0
2,1,2172.0,2068.0
2,2,2172.0,2068.0
2,3,2172.0,2068.0
2,4,2172.0,2068.0
2,5,2172.0,2068.0
2,6,2172.0,2068.0
2,7,2172.0,2068.0
2,8,2172.0,2068.0
2,9,2172.0,2068.0
2,10,2172.0,2068.0
2,11,2172.0,2068.0
