frame,bg_sampled_mean,bg_fit_min
0,49.531235,39.41540779905802
1,49.558914,39.50278648212206
2,49.589687,39.515975614216615
3,49.59656,39.475457947143965
4,49.66229,39.641005793295555
5,49.427994,39.494805029103546
6,49.88204,39.80255787387671
7,49.279804,39.3749708828154
8,49.67195,39.42446323862654
9,49.54332,39.42666009775867
10,49.45914,39.599294765342194
11,49.49463,39.49026610935895
12,49.575844,39.64597879405972
13,49.653584,39.64802612102922
14,49.44326,39.494775595982055
15,49.633835,39.70096402810405
16,49.686573,39.803565294930806
17,49.721935,39.683610639334866
18,49.709587,39.63406986127828
19,49.662243,39.67883132726764
20,49.618793,39.7077719877089
21,49.412117,39.4890718278637
22,49.688316,39.715662408873214
23,49.481693,39.46383369918075
24,49.345432,39.38613735851878
25,49.412563,39.4706830396856
26,49.53663,39.72071491951922
27,49.505684,39.36430400582112
28,49.342697,39.38666180349544
29,49.4726,39.44448175549798
30,49.440792,39.55792506511866
31,49.853813,39.984385860161
32,49.47051,39.41373310423249
33,49.18809,39.263252041180245
34,49.645126,39.51303375055427
35,49.664818,39.62088388762358
36,49.49977,39.49629095383926
37,49.16036,39.02739009957098
38,49.39511,39.51437056939401
39,49.499714,39.61911234410184
40,49.22769,39.29726559872851
41,49.740486,39.68845567048922
42,49.43173,39.59077043505381
43,49.31311,39.330520438625456
44,48.99243,39.14065037326738
45,49.253418,39.42937481474789
46,49.300648,39.40100032963898
47,49.550236,39.42233082840961
48,49.5682,39.66129356252833
49,49.258198,39.37997972848041
50,49.263245,39.19990427083294
51,49.234062,39.1978528064652
52,49.484467,39.389950091856655
53,49.25499,39.12272729208882
54,49.151474,39.200742119537715
55,49.356583,39.33184996388047
56,49.32454,39.43850192860476
57,49.2065,39.20725774334598
58,49.202076,39.315865894379044
59,49.15166,39.08468219984508
60,49.18398,39.277092583950015
61,48.99177,39.09385906928745
62,49.443222,39.51233552765964
63,49.36511,39.379554324950604
64,49.033062,39.009531737710404
65,49.3526,39.453727338157165
66,49.49788,39.386367840190786
67,48.982845,38.902740369835556
68,49.367653,39.33848810230432
69,49.310642,39.3894253527191
70,49.43206,39.52619731268066
71,49.163254,39.08600978338965
72,49.21195,39.130283765041234
73,49.305454,39.312908961179836
74,49.308155,39.39185387297386
75,49.20105,39.11508417655881
76,49.337353,39.336517622737404
77,49.236027,39.162088180094806
78,49.205013,39.12758168445559
79,49.32288,39.22803351911204
80,49.362206,39.31835925007614
81,49.237503,39.13762261082259
82,49.343388,39.32803783552517
83,49.243973,39.254070531595566
84,49.339634,39.27253918699481
85,49.233322,39.17288565011378
86,49.35804,39.323217822334016
87,49.164772,39.27166419765171
88,49.249035,39.3679125949822
89,49.200203,39.07894857520531
90,49.268486,39.15780913804212
91,49.235695,39.22143218152358
92,49.34263,39.36721187450373
93,,39.106801012932294
94,,39.35176318213696
95,,39.44998417997221
96,,39.292825366364525
97,,38.934061347031815
98,,39.26370906540497
99,,39.23812031896967
100,,39.53584747406012
101,,39.188449688816
102,,39.25470736883214
103,,39.34027475221924
104,,39.23991515529785
105,,39.04012574540047
106,,39.397590491179045
107,,39.03821385423077
108,,38.908014106797864
109,,38.941550053674966
110,,39.18805816510658
111,,39.25373334101005
112,,39.300225656864185
113,,39.05138530520827
114,,38.939173145696536
115,,39.14887936746836
116,,39.402551566648484
117,,39.17553520202187
118,,38.98919594960265
119,,39.29867823023376
