cell_id,f0,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23,f24,f25,f26,f27,f28,f29,f30,f31,f32,f33,f34,f35,f36,f37,f38,f39,f40,f41,f42,f43,f44,f45,f46,f47,f48,f49,f50,f51,f52,f53,f54,f55,f56,f57,f58,f59,f60,f61,f62,f63,f64,f65,f66,f67,f68,f69,f70,f71,f72,f73,f74,f75,f76,f77,f78,f79,f80,f81,f82,f83,f84,f85,f86,f87,f88,f89,f90,f91,f92
0,51.013774364926086,49.86271921431745,50.20390051493937,50.027148622420256,50.249518094993114,49.838812253348024,50.16672362327545,49.66641913184434,49.5626841413892,49.646070519421734,49.682847241451476,49.5988343100411,49.804559437073706,49.769780148670655,49.74880493664238,50.01047679431895,50.01172262387501,49.94410425292899,49.64765116699734,49.69486739839855,50.054051833737276,49.749245463285064,49.84107300804793,49.561305519228426,49.59560675807781,49.66928515359103,49.246742510899075,47.19005895408331,47.30207064277532,48.18929992574255,48.59622870904485,49.23741871611559,48.63369081403587,48.71230409403524,49.003813661265845,49.305397252533645,49.004418536157175,48.70518167933717,49.07547875238655,49.43843627957108,49.15999613498873,49.64382220082782,49.53013712827197,47.98828620803959,46.30380349717351,47.207467919689314,47.55643522348507,48.098418109486985,48.70538728305331,48.788410682791906,48.29125417620116,48.65799578588006,48.64063866747428,48.38244566750867,48.742697124070894,48.77906109413105,48.91788333285567,48.933776852701214,49.002313713482174,48.867299348532434,49.063623833374784,48.91769758998273,49.39782710650249,49.12261660929806,48.65048613602936,49.379853229310065,49.30316374059019,48.77639443083227,49.183724882012314,49.30208398507666,49.480031160172885,49.066846025537586,49.11597374624252,49.095748254302585,49.304074888965864,48.86522613807251,49.18259723523542,48.98574522846773,48.928935653620684,49.0317536314388,49.02216082338428,48.74874574383886,49.21759775261632,48.920727042482326,49.100148496304996,49.247866090395384,49.132760544768296,48.97022376557014,49.09435250545836,48.85628067472187,48.81893986640174,48.82077132980049,49.10879334045097
1,44.780886266778,44.69605324541587,44.8123678004651,44.94130824083612,44.578293327864614,44.74315472329891,44.86903406714518,44.573202161154796,44.65103233077941,44.222569481392696,44.694627610683895,44.57420887364125,44.61679003984684,44.7326844524413,44.40689448308936,44.5315335323646,44.643536754976395,44.57971032674554,44.29277359870022,44.33356289423776,44.36569103790189,44.2578418016501,44.46157968495425,44.06116056285822,44.039977345402455,44.214371219175604,44.68409786930743,43.6962171789592,43.10325011244076,42.65519036769365,42.873253009943944,43.36756133780212,42.96571820764937,43.001824510952105,43.63175665895148,43.789025594445285,43.53910253896077,43.14475348726972,43.965600140049425,44.169819671795246,43.792354153472544,44.526227015572594,44.300109553312275,44.29290657148157,43.5087213489643,42.77472864509569,42.24226975219161,42.8212610613347,42.81156250827122,42.87706196661914,43.083684399077164,43.02619088639908,43.45082488016539,43.34463796750416,43.87234512705128,43.800462831934105,44.096120490443795,43.922467550028024,44.09785307802098,43.86416494934951,44.341176777980785,44.11392494868888,44.25902664893034,44.31157237616021,43.83335164260642,44.39632635611735,44.30834290301722,43.88997552315773,43.987694281568594,44.47759181719488,44.74213624961197,43.929859267039184,43.99032360491699,43.91532945513704,44.03550955674795,43.83419649279524,44.108163045569114,43.873925187762836,43.85545230945853,43.80955201189079,44.297722148519604,44.06252130221963,44.03817019987491,44.12507296858392,43.92099571767768,44.14670009344505,44.259524936889264,44.070029931770954,44.024068582912705,43.7816712457947,43.95694314742354,44.148042577975296,44.13995129183394
2,43.69726299909883,43.67772107588866,43.73517194583384,43.65026089707988,43.99639329673596,43.7758002846869,44.008385536525815,43.555698191933175,43.51146516839373,43.609433902270155,43.75898416618968,43.89160601037772,43.870086954799135,43.99225862534283,43.79386979664889,44.04218235155411,44.01251520597914,43.94016302664182,43.98985798239905,43.9807561817162,43.88964143642649,43.675547312267426,43.92486865159943,43.57976819812427,43.54358107434288,43.716507277953916,43.258096133859254,41.83835203024319,41.889884856122215,42.24781715698396,42.743937758709244,43.51436913145782,43.02722329834194,43.107422197734685,43.32346219949186,43.55040605342095,43.41939264084604,43.04613397842549,43.496523585710136,43.65820312550605,43.35484552161358,43.737105947765436,43.636368151668364,42.75232738947569,41.4662153442969,41.68130541127696,42.11824473702148,42.546470654691504,43.157850683352805,42.98532149988508,42.76528605003945,42.82623016045803,43.04371117625827,42.96668752801031,43.16124658930012,43.0998913751589,43.22704810125077,43.07145285733526,43.23015081588183,43.02716378282562,43.20727488211423,43.07421028295587,43.41814946820006,43.2287795219364,42.92389801582154,43.39409835281398,43.428858871989185,42.96435933274168,43.31317577354998,43.271648071691786,43.39102789001882,43.04437136651152,42.93641692623647,43.10351410462694,43.2431262495526,43.214922161893114,43.16837203997715,43.06788700577765,42.94977207324731,43.16395935394299,43.427589742290124,43.06151261923597,43.12239600546741,43.03027539882273,43.16998810168736,43.06097964650515,43.126033421478255,43.067143801231296,43.264742417618926,43.029546045670564,42.94132902332352,43.09362456637049,43.21740814980612
3,44.99163422526237,44.83319888978416,44.990275714669636,44.96230800158405,45.10454968445246,44.95841689755362,45.11667875152475,44.80900713823774,44.71556218122392,44.7285284171296,44.9913828071233,44.85119655848288,45.04655640199506,44.91078299802417,44.81502959842147,45.052574220584695,45.149737321499174,45.037887700323616,44.96663079228055,44.988016633241365,44.9951415388244,44.79034785164599,45.041446466069914,44.740290005325505,44.54061959371895,44.73349730122352,44.93990355190841,44.234175770483944,43.946579364527594,44.07765072978505,44.35516755707109,44.903018038754304,44.38639042670532,44.27259139204257,44.634381177835756,44.844378532321294,44.597681323371084,44.25859684145494,44.8083622185618,44.836215041334775,44.55924929010909,44.93436876937245,44.83680807097361,44.51927799520189,43.86244903777897,43.898213563924585,43.80825424092328,44.12800142118958,44.45749647276385,44.26854092321329,44.0860229824482,44.16933562831136,44.37776564762742,44.01481268175043,44.3388953185518,44.48870257738401,44.694309129406356,44.37412874979711,44.518811444205454,44.29104766063666,44.48369258828091,44.24316410008683,44.61992359911788,44.526628374386505,44.21355985454092,44.72738374956703,44.5040954158932,44.17433427998623,44.55973737526624,44.495946903293174,44.83528167472094,44.196418742429664,44.26685089726427,44.44241754434172,44.515423690378555,44.33740026584571,44.50782752468872,44.3287918235692,44.244197231380035,44.27738222508754,44.551791222131826,44.29283515265938,44.447571913876416,44.34706397398791,44.454464839546475,44.381598242121456,44.48347762486667,44.46902869907446,44.54812779675016,44.22734308897407,44.30536041730976,44.429037341836064,44.534312070080716
4,46.322572512201326,45.870888288085006,45.80570642223661,45.9604051503301,46.016810982887485,45.82949552636188,46.20016979446297,45.78851513244091,45.78270643770901,45.680358207566485,45.854284165291276,45.67587503836376,46.039536721255594,46.02022169015213,45.80268534887758,46.04716265531155,46.087991249597195,46.07073061863774,45.821393126928626,45.79779637973244,45.95392517343814,45.7406909720165,45.8995071626353,45.695518396516825,45.6024372454472,45.665848035872855,45.76876351080337,44.130516573762556,43.51125030097969,43.67766163311748,44.184649566421314,44.88886264913116,44.613099485999776,44.719755747423825,45.288366556548134,45.379802857586235,45.172795834231245,44.94171223989639,45.273351946487786,45.495218255610894,45.251274528005304,45.720367429498175,45.51354970597467,45.091960195451726,43.246310492206135,43.12941207370842,43.259674600362,44.01971859268282,44.63424468588034,44.59095029704008,44.43602698731977,44.57483934792403,44.7361651834312,44.62475365073856,44.86224156103418,44.88755007665985,45.212055095388024,44.84494925961104,45.08558218739608,44.6947443659673,44.91454365507066,44.86974919234846,45.36969440415601,45.178838733383564,44.586512192386024,45.135912842166974,45.277877985780385,44.62459243885762,44.99108910046176,45.08596436936863,45.12609597449928,44.711980511574495,44.738260549251905,44.794323115600086,45.059989971010886,44.8101265442223,44.95352896700565,44.605918459309954,44.784745615746644,44.73022960414939,44.860464292907594,44.624693214766104,44.840907835263195,44.78686426774384,44.74296399113363,44.55730065349885,44.81938665093487,44.77787273798858,44.79579342365206,44.54743330812317,44.60369976552555,44.772486422237584,44.85603109348647
5,43.10565481880545,42.930101815000384,43.058927045498685,42.90666957467254,43.044273630775685,42.80962146766677,43.279251101736875,42.833247482660475,42.762038635795214,42.72622806291305,43.04813567470621,42.91345599507689,43.1807484920468,43.11389266084425,43.1111370635348,43.0424873027133,43.27692494622229,43.15102348524616,42.95534199839286,43.03437095322101,43.07216501082983,43.013201789669125,42.99622943329978,42.85945318523419,42.60031159485705,42.63549668023852,42.97814367256024,42.605140551525935,42.447996121780605,42.28708789973121,42.546592040173216,42.82791308612636,42.362600135431876,42.32819922488121,42.703324339088034,42.797974932124916,42.66872404564225,42.16429506969457,42.63888033968959,42.85591134298109,42.66808611348875,42.90262443112091,42.78191896973727,42.608804060299484,42.21494007996211,42.49459612815448,42.42688097655206,42.34162422062102,42.18455276544797,42.26575015147922,42.23917070959917,42.163357342154136,42.345619214262044,42.22810108299843,42.349202735704004,42.347595117263175,42.56423417907185,42.31010587097298,42.417770861919216,42.214437203094576,42.56386365950865,42.388153475534665,42.72524960156617,42.486148472331735,42.13341093730656,42.59530656628921,42.487971589358246,42.182664462895794,42.53127566055624,42.63961335960451,42.7085343278182,42.300173764186326,42.367256480809395,42.36110156264292,42.58708794695373,42.409563494477815,42.356905071162075,42.27393131677275,42.31994362338328,42.50017722656004,42.552022129673325,42.185782181930676,42.40499439782477,42.54748176617668,42.40472099574599,42.198724951502456,42.36270666093173,42.34385499293991,42.409743962946344,42.17886170718255,42.211713681413755,42.472907176434255,42.59213318475589
6,43.055732257341454,42.048316997591954,42.666134061575086,42.463474965073566,42.661888787730845,42.400117322328185,42.95414986600774,42.25640546571571,42.14941972099781,42.45357953824843,42.47620636387166,42.371070732733315,42.602542779444015,42.57737822596137,42.51076678568056,42.85431832850115,42.74580651121052,42.75232573147788,42.37881534671698,42.758552745036035,42.62783671912151,42.66914450469412,42.62422619843588,42.477826514130044,42.20543926124116,42.37293915985164,42.93207462106329,42.21695825855399,42.32117931588807,42.166663077881765,42.36036390688253,42.67673392287625,42.38677675798568,42.01170259764861,42.45120057412045,42.443191946681104,42.29104699622508,42.08773999821287,42.215309643033905,42.41439649865116,42.28616722256743,42.478413665907546,42.40009990339753,42.163225632482785,41.679584125966066,41.993784596982785,41.9060022848184,42.2348407734666,42.484014277665224,42.239998551583916,42.05100557201489,42.06955408883978,42.31463174533926,41.8923108238039,42.16956729022946,42.05974502121182,42.400764643300704,41.9980484828967,42.281180382248685,41.97675330443484,41.96924919729778,41.841616974537686,42.1342193412637,42.17674857936715,41.85011237250926,42.43954277123092,42.13170031947597,41.65532127297226,41.979555699735464,42.26561574516813,42.279270218568186,41.83279379534944,41.880920023849924,41.8992766956203,42.15913341219097,41.90927418136206,42.14860396612714,41.83036584486142,41.736832217728775,41.89691323143659,42.01478694364741,41.8144434154387,41.89559886752683,41.805874122333336,42.06657286005878,41.77749166000055,41.99137906290434,41.83242150668573,41.96461873601937,41.67867637384782,41.652871410807776,41.8080925165349,41.881025973942876
7,43.91021329928,44.06235137430761,43.92380322773712,44.08403513233187,44.19973281181453,43.98264722995332,44.509887499872086,44.03632662856076,43.912772592454765,43.91914185068887,44.08411751961537,44.06945241346228,44.15695803362272,44.219193510986706,44.115864870501454,44.21805572577156,44.22771634087602,44.22400547223076,44.17199370306527,44.17760233084524,44.24276891307779,44.05138770037442,44.153121264247254,43.91774052886705,43.93404559032093,43.92383197577929,44.17286833185895,42.87605747276153,42.40280812831108,42.585830499088985,43.088795431243575,43.5428778632806,43.118517211416275,43.19533492809572,43.508885531804495,43.71006229402176,43.61597792748074,43.241518059555986,43.69509620160771,43.80167151105502,43.62366764025389,44.120053588340475,43.98319672089124,43.58444426875773,42.38181940200089,42.08206993329476,42.215959622620694,42.54284874062302,43.06852950194466,43.162393699505536,43.00078363787015,43.10417310690746,43.18711053799595,43.00984520965529,43.24691822854008,43.40567722709114,43.58285931652382,43.336349812621584,43.46278736661263,43.191255795422606,43.487320921809065,43.18648986595017,43.65744679036091,43.520754140840815,43.103603601727364,43.65358444978175,43.60227373418068,43.13865514876342,43.43570147550963,43.535281814117326,43.71162069942384,43.26300334571132,43.275563704215514,43.44660433536256,43.4306004406203,43.31125737025221,43.48228335400696,43.301338597543065,43.252197089987256,43.31582915456334,43.3593606425768,43.31280899691867,43.5257523840906,43.390379315140066,43.33729171632069,43.31846260748554,43.36774486101856,43.30386567241845,43.4160526940131,43.18516989400685,43.21300326762199,43.32254893834913,43.53113371174392
8,43.39871912813975,43.50348663237126,43.532003172600525,43.621247901929536,43.58344307913904,43.55347713366732,43.96374727521723,43.39340907800272,43.51635596204002,43.22671662800209,43.633444449952506,43.43123135505918,43.56936798251426,43.534469840678376,43.39928881288246,43.56256924223018,43.7230842259623,43.654949475141215,43.58530499938574,43.14137861347255,43.498806703329336,43.24530129692164,43.19918401143764,43.22594044181279,43.093908195360044,43.032186509348776,43.24180688630162,42.85694551886614,42.75653228213667,42.68476429128298,43.022347912679535,43.27920668508207,42.90007796037598,42.78175038679978,43.11452380409246,43.50922764893139,43.18233999444296,42.717182726029094,43.172879452567045,43.241064158268316,42.9375333287027,43.41793584528206,43.25313995516795,43.25512366083292,42.85743216575933,42.899975135238385,42.729832905846045,42.9338306218529,43.16431114867241,42.899131251963404,42.6573866873222,42.72010525756857,42.95081405204667,42.735501493864795,42.951722672704015,43.06226549966482,43.314600244299974,43.00372017476109,43.06782950403029,42.868773351870146,43.04935219258834,42.909680118803436,43.42624925936186,43.38596381455704,42.8943753740588,43.22901982183993,43.33007810484725,42.83310902654535,43.244100419949675,43.365294859798865,43.34603458465677,42.8125622975644,42.84057916505789,43.138136597068325,43.37993435926035,42.95378587225552,43.038314595283815,43.03549685207377,42.91066205836752,42.870964892643826,42.99457422268374,42.733594256336346,43.0347875646274,42.90928170485579,43.148954424602785,42.69619298886641,42.88005790763381,42.95478200559153,43.13222453492175,42.94674879202202,42.753579750209305,42.889068891988536,43.04761618963463
9,41.63243857961326,41.41660200592802,41.51152256211329,41.514591426081054,41.66921335398631,41.41954957930613,41.65087148017937,41.25060708553555,41.29040092285486,41.41042529325011,41.52915547926586,41.36827564460538,41.410471705646316,41.47179994214159,41.39215400826571,41.749297630083085,41.691366415187936,41.47588334612886,41.379812891988685,41.4226820259072,41.53802137481088,41.30233623596315,41.449863311292475,41.16715961858146,41.006229226429326,41.174119819403295,41.33330867048332,40.893846125606586,40.90101469937864,40.91663897356974,41.21040711517739,41.70390642877647,41.117320358630415,40.86038933882416,41.097863737227236,41.35237157182704,41.27768663747546,40.81623848351375,41.17067656414894,41.31478501192226,40.974747589875356,41.40697703725033,41.289819667494044,41.16188704759568,40.66509913077092,40.9530481471018,40.84667472877535,41.04041927987289,41.309170232491816,40.86581317887898,40.79417082698507,40.811415074562355,40.81899277682716,40.736603077637135,40.80059732721325,40.918193945770525,41.11141179334855,40.81663832584309,40.841657762891565,40.593544317807414,40.94891191888007,40.62987940882904,41.00073816543713,41.03971920135404,40.53213947183973,41.04301897842221,41.058942199871716,40.472331566615146,40.98226006043011,41.02993125190065,41.15354837323889,40.483661572534274,40.771607945559765,40.91345972586047,40.88296234750344,40.70307039241661,40.837255440231495,40.63840648829327,40.50678847048712,40.52824372224315,40.799659976552796,40.56784998962083,40.95196532216897,40.67312239520919,40.64462142405024,40.597186454612384,40.77893568402882,40.774423802830526,40.93748148180489,40.58277060013197,40.543041049161104,40.731858942340324,40.69288951784458
