frame,minutes,is_stim_onset,in_analysis_window
0,0.0,False,True
1,0.31666666666666665,False,True
2,0.65,False,True
3,0.9833333333333333,False,True
4,1.3166666666666667,False,True
5,1.65,False,True
6,1.9833333333333334,False,True
7,2.316666666666667,False,True
8,2.6333333333333333,False,True
9,2.95,False,True
10,3.283333333333333,False,True
11,3.6,False,True
12,3.933333333333333,False,True
13,4.25,False,True
14,4.583333333333333,False,True
15,4.9,False,True
16,5.233333333333333,False,True
17,5.566666666666666,False,True
18,5.883333333333334,False,True
19,6.216666666666667,False,True
20,6.533333333333333,False,True
21,6.85,False,True
22,7.166666666666667,False,True
23,7.5,False,True
24,7.816666666666666,False,True
25,8.166666666666666,True,True
26,8.516666666666667,False,True
27,8.833333333333334,False,True
28,9.166666666666666,False,True
29,9.5,False,True
30,9.833333333333334,False,True
31,10.15,False,True
32,10.483333333333333,False,True
33,10.8,False,True
34,11.133333333333333,False,True
35,11.466666666666667,False,True
36,11.783333333333333,False,True
37,12.116666666666667,False,True
38,12.45,False,True
39,12.783333333333333,False,True
40,13.1,False,True
41,13.433333333333334,False,True
42,13.766666666666667,False,True
43,14.1,False,True
44,14.433333333333334,False,True
45,14.75,False,True
46,15.066666666666666,False,True
47,15.4,False,True
48,15.716666666666667,False,True
49,16.033333333333335,False,True
50,16.366666666666667,True,True
51,16.7,False,True
52,17.05,False,True
53,17.366666666666667,False,True
54,17.683333333333334,False,True
55,18.0,False,True
56,18.333333333333332,False,True
57,18.666666666666668,False,True
58,18.983333333333334,False,True
59,19.316666666666666,False,True
60,19.65,False,True
61,19.966666666666665,False,True
62,20.3,False,True
63,20.616666666666667,False,True
64,20.933333333333334,False,True
65,21.266666666666666,False,True
66,21.583333333333332,False,True
67,21.9,False,True
68,22.216666666666665,False,True
69,22.55,False,True
70,22.866666666666667,False,True
71,23.2,False,True
72,23.516666666666666,False,True
73,23.85,False,True
74,24.166666666666668,False,True
75,24.5,False,True
76,24.816666666666666,False,True
77,25.15,False,True
78,25.466666666666665,False,True
79,25.783333333333335,False,True
80,26.1,False,True
81,26.433333333333334,False,True
82,26.75,False,True
83,27.083333333333332,False,True
84,27.4,False,True
85,27.716666666666665,False,True
86,28.05,False,True
87,28.383333333333333,False,True
88,28.7,False,True
89,29.016666666666666,False,True
90,29.366666666666667,False,True
91,29.683333333333334,False,True
92,30.0,False,True
93,30.333333333333332,False,False
94,30.666666666666668,False,False
95,30.983333333333334,False,False
96,31.316666666666666,False,False
97,31.633333333333333,False,False
98,31.966666666666665,False,False
99,32.3,False,False
100,32.61666666666667,False,False
101,32.95,False,False
102,33.28333333333333,False,False
103,33.6,False,False
104,33.93333333333333,False,False
105,34.25,False,False
106,34.583333333333336,False,False
107,34.9,False,False
108,35.233333333333334,False,False
109,35.55,False,False
110,35.88333333333333,False,False
111,36.2,False,False
112,36.53333333333333,False,False
113,36.85,False,False
114,37.18333333333333,False,False
115,37.5,False,False
116,37.81666666666667,False,False
117,37.81666666666667,False,False
118,37.81666666666667,False,False
