cell_id,f0,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23,f24,f25,f26,f27,f28,f29,f30,f31,f32,f33,f34,f35,f36,f37,f38,f39,f40,f41,f42,f43,f44,f45,f46,f47,f48,f49,f50,f51,f52,f53,f54,f55,f56,f57,f58,f59,f60,f61,f62,f63,f64,f65,f66,f67,f68,f69,f70,f71,f72,f73,f74,f75,f76,f77,f78,f79,f80,f81,f82,f83,f84,f85,f86,f87,f88,f89,f90,f91,f92,f93,f94,f95,f96,f97,f98,f99,f100,f101,f102,f103,f104,f105,f106,f107,f108,f109,f110,f111,f112,f113,f114,f115,f116,f117,f118
0,65.93371467025572,65.65886368006153,65.41977504326091,65.2869640453759,65.57532205345126,65.58854066525669,65.88141703518554,65.53033070563353,65.72620649875024,65.61468948279177,65.72812920592193,65.20558546433378,65.9625072101519,65.61218996346857,65.58402230340319,65.50326860219188,65.71332436069987,65.48067679292444,65.60296096904442,65.36315131705442,65.37872524514516,65.81239184772159,65.31820803691598,65.29148240722938,65.20159584695251,65.57782157277447,65.30859450105748,60.58387810036531,59.988127283214766,61.1914535666218,61.962363007114014,63.15299942318785,63.886368006152665,64.23538742549509,64.60324937512017,64.7894154970198,64.94313593539704,64.76014228033071,64.6971736204576,64.61334358777158,64.92756200730629,64.72375504710632,64.48548356085368,64.66665064410691,64.72409152086138,64.3626225725822,64.99490482599501,64.98038838684869,65.3174389540473,64.87435108632955,65.1666987117862,64.12411074793309,59.07767736973659,59.436118054220344,60.36733320515285,61.295135550855605,62.18294558738704,63.12680253797347,63.877187079407804,64.49985579696212,64.58786771774659,64.8314266487214,64.66775620073062,64.51720822918669,64.5369159776966,64.40852720630647,65.04657758123437,64.85791194001153,64.48457027494713,65.13247452412998,64.72784079984618,64.77888867525476,64.66506441069025,64.60598923283983,64.69683714670256,64.9065083637762,64.92318784849067,64.78489713516632,64.81383387810037,64.93929052105365,64.89679869255912,64.8721399730821,64.75562391847721,64.8308498365699,64.81417035185541,64.85305710440299,64.68390694097289,64.69924053066718,64.46765045183619,64.63473370505672,64.51158431070948,64.61949625072101,64.33858873293597,64.42506248798308,64.59897135166314,64.84651990001923,64.17443760815227,64.56450682561047,64.62223610844069,64.4027110171121,64.51634301095943,64.64304941357432,64.45058642568736,64.37060180734474,64.59738511824649,64.41102672562968,64.33599307825418,64.36444914439531,64.46457412036146,64.52278407998462,64.23187848490674,64.30609498173428,64.47404345318208,64.50788309940395,64.04955777735051,64.35579696212267,64.13987694674101,64.40468179196309,64.38329167467795
1,56.85860555826426,56.69590443686007,56.66699171136031,56.51725987323257,56.66884446611409,56.75548512920527,56.95329107752316,56.51764992686494,56.699171136031204,56.811116528522675,56.709117503656756,56.45441248171623,56.810433934666015,56.57118478790834,56.71565090199903,56.77045343734763,56.58517796196977,56.498391028766456,56.656509019990246,56.349585568015605,56.71340809361287,56.835007313505606,56.485763042418334,56.581472452462215,56.32632862018527,56.57903461725987,56.53154558751828,56.19322281813749,56.294588005850805,56.31272549975622,55.815992198927354,55.66001950268162,55.70628961482204,55.61740614334471,55.611896635787424,56.067723061921015,55.91652852267187,55.9946855192589,55.982008776206726,55.91038517796197,56.18493417844954,56.13198439785471,56.001170160897125,56.11935641150658,56.18863968795709,55.643588493417845,56.21784495368113,56.20507069722087,56.461433447098976,56.094539249146756,56.60901999024866,56.28449536811311,56.21911262798635,56.03408093612872,55.8007313505607,55.20170648464164,55.28444661140907,55.25650901999025,55.25397367137982,55.54987810823988,55.53939541686982,55.746367625548515,55.717211116528524,55.688542174549,55.86313993174061,55.787908337396395,56.276255485129205,56.152023403217946,55.785568015602145,56.23256947830327,56.09166260360799,56.072745002437834,55.77742564602633,56.01569965870307,55.9657240370551,56.11921014139444,56.136518771331055,56.09200390053633,56.185129205265724,56.185811799122376,56.211457825451,55.9748902974159,56.20487567040468,56.13110677718186,56.072745002437834,56.10516821062896,55.892930277913216,56.235543637250125,55.84275962944905,56.11409068746953,56.04753778644564,56.12159921989274,55.9794734275963,56.01667479278401,56.01779619697709,56.41058020477816,55.856850316918575,56.11340809361287,55.980741101901515,55.79176011701609,56.05889809848854,56.26382252559727,55.96274987810824,55.84110190151146,56.24778156996587,55.98488542174549,55.83047294002925,55.87298878595807,56.03022915650902,56.13388590931253,55.8335446123842,55.80258410531448,55.94232081911263,55.87289127254998,55.7289614822038,55.8587518283764,55.77679180887372,56.08278888347148,55.96211604095563
2,58.005535055350556,58.02671265843093,57.708487084870846,57.60476496069308,57.44176159152896,57.67399326167175,58.106289106369324,57.667174715225414,57.879512273383604,57.65770896839403,57.48483876143109,57.535135568746995,58.05061768008984,57.70904861222525,57.86747954436066,57.63925878389219,57.725172469115996,57.71747152254131,57.859698379592494,57.560083426921224,57.77546927643189,57.981790470078614,57.484116797689715,57.76111021979785,57.52783571313974,57.87678485480507,57.71482432215627,56.77145836675758,56.318305791753566,56.593775068185465,56.425798171025185,56.71233755815819,57.047328734156906,57.062329536338844,57.21795283170223,57.36034012514038,57.330900048130914,57.33603401251404,57.14936627627146,56.98018610620889,57.32616717471522,57.50778116476817,57.31373335472485,57.306273062730625,57.484758543237604,57.032889459329375,57.41272260548693,57.43871330017648,57.60709128830419,57.39547569388738,57.66075725974651,57.082063211936465,55.408551259425636,55.94192202791593,56.21995828653939,56.128108454997594,56.4116797689716,56.547408952350395,56.713460612866996,56.85833467030322,57.04251564254773,56.989010107492376,57.018450184501845,56.8853682015081,56.91681373335472,56.79295684261191,57.48267287020696,57.24771378148564,56.93213540831061,57.41264238729344,57.16380555109899,57.1210492539708,56.94416813733355,56.96526552222044,57.10275950585593,57.169260388256056,57.06473608214343,56.752446654901334,57.14302903898604,57.12698540028879,57.20736403016204,57.0298411679769,57.20904861222525,57.05879993582545,57.00962618321835,56.964302903898606,56.88191881918819,57.1368522380876,56.832985721161556,57.07043157388095,56.78750200545484,56.94280442804428,56.715546285897645,56.99069468955559,56.98788705278357,57.333306593935504,56.821033210332104,57.01500080218194,56.9461735921707,56.727739451307556,56.90558318626665,56.96301941280282,56.89563613027435,56.97906305150008,57.22789988769453,56.813813572918335,56.827851756778436,56.932777153858495,56.78525589603722,56.94424835552703,56.51949302101717,56.75541472806032,56.977057596662924,56.83707684902936,56.48844858013798,56.49775389058238,56.56120648163003,56.92716188031446,56.84846783250441
3,64.64137991727537,64.29780867728593,64.1817301768899,64.09557335210772,64.09997359852152,64.26920707559623,64.54835870808765,63.967702191322715,64.23321305993136,64.2568863856376,64.21605209891754,63.78834814749626,64.48455513508756,64.12391093901259,64.18401830502508,64.12760714600017,64.17064155592713,64.09856551966911,64.10278975622634,63.700519229076825,63.86746457801637,64.31796180586113,63.794244477690754,63.98723928539998,63.712575904250635,64.14837630907331,63.97808677285928,61.37023673325706,59.62342691190707,60.24298160696999,60.626331074540175,61.35210771803221,62.028073572120036,62.36249229956878,62.72885681598169,62.982134999559975,63.32702631347355,63.41863944380885,63.16976150664437,63.31417759394526,63.69567895802165,63.46466602129719,63.35245973774531,63.52257326410279,63.397870280735724,63.13825574232157,63.60793804453049,63.541758338466956,63.85813605561911,63.29076828302385,63.920619554695065,63.44908914899234,60.01768899058347,58.98785531989792,59.955557511220626,59.96682214203995,60.79864472410455,61.496963829974476,61.985919211475846,62.44178473994544,62.65018041010297,62.87195282935844,63.160961013816774,62.88339347003432,62.956701575288214,62.878289184194315,63.3866056499164,63.36997271847223,63.12743113614363,63.30924931796181,63.267358972102436,63.17152160520989,62.9530933732289,63.24394966118103,63.15172049634779,63.24773387309689,63.05209891753938,63.0381061339435,63.2143800052803,63.037754114230395,63.151896506204345,63.27598345507349,63.01267270967174,63.147056235149165,62.9197395054123,63.10050162809117,62.677109918155416,63.191762738713365,62.990671477602746,63.05104285840007,62.97095837366893,63.0421543606442,62.84053506996392,62.72683270263135,62.803396990231455,63.330810525389424,62.74196955029482,62.9750946052979,63.05341899146352,62.87327290328258,62.79090029041626,63.065563671565606,62.88409750946053,62.61638651764499,63.20909970958374,62.77145120126727,62.787556103141775,62.67174161753058,62.81219748305905,62.96787820117927,62.837102877761154,62.72586464842031,62.74795388541758,62.8699287160081,62.59658540878289,62.57344011264631,62.54932676229869,62.64701223268503,62.84599137551703
4,58.88013040207306,58.642982529465854,58.57109420713868,58.36169857059266,58.13817604279863,58.445206051993644,58.658948424308285,58.2006185739363,58.28813842681602,58.30611050739781,58.37933628688456,58.014544846610384,58.64866672239405,58.27718799632199,58.43007606787595,58.21357519016969,58.261305692552035,58.21173618657527,58.39128981024827,58.01036529298671,58.17629357184653,58.36487503134665,58.04672740951266,58.139011953523365,57.888238736102984,58.31455320571763,58.20538326506729,57.92226030259968,57.743709771796375,58.09445791189501,57.61146869514336,57.69740031764608,57.65267909387278,57.561230460586806,57.628019727493104,57.857811585722644,57.91139346317813,57.958371645908215,57.76770040959625,57.61297333444788,57.80590152971663,57.875282119869595,57.631363370392044,57.73209061272256,57.75223606118867,57.431831480397896,57.97726322828722,57.84493856056173,58.109922260302596,57.78926690629441,58.15648248767032,57.97508986040291,57.72281200367801,57.66923012622252,57.77104405249519,57.33996489174956,57.18599013625345,57.16116358772883,57.18523781660119,57.5795369054585,57.41310708016384,57.61631697734682,57.53824291565661,57.339881300677085,57.521023154727075,57.37674496363788,57.80840926189083,57.75858898269665,57.59709103067792,57.945749393964725,57.630360277522364,57.59341302348909,57.469531054083426,57.59174120203962,57.66103820112012,57.66429825294659,57.73359525202709,57.570091114269,57.652762684945245,57.86633787511494,57.73835994315807,57.73158906628772,57.737189668143444,57.939730836746634,57.632366463261725,57.59734180389535,57.43099556967316,57.85563821783833,57.387110256624595,57.57410348574772,57.56164841594918,57.70174705341469,57.575858898269665,57.51450305107414,57.50906963136337,57.970826715706764,57.37181309036195,57.52495193513333,57.56014377664465,57.371144361782164,57.51575691716125,57.71219593747388,57.43383766613726,57.437097717963724,57.820780740616904,57.36554375992644,57.565744378500376,57.36821867424559,57.58037281618323,57.55069798545515,57.2661539747555,57.41486249268578,57.45916576109671,57.40499874613391,57.12990052662376,57.52261138510407,57.271420212321324,57.547437933628686,57.6025244503887
5,60.82381059498369,60.52654369587223,60.28714430322798,60.34945450455517,60.28028343268474,60.35395343605894,60.552187605443706,60.24738499606344,60.295017433359575,60.43684624901586,60.31374423574401,60.09430885164773,60.51996400854797,60.25092790462265,60.488471488021595,60.3158812282083,60.38004723878079,60.286244516927226,60.25154650770442,60.16387358002474,60.2324822854572,60.612641997525586,60.127207288269034,60.09520863794849,59.956247891125855,60.323979304915085,60.3178495107412,59.96412102125745,59.56962096502081,59.536947474974696,59.19502868068834,59.386683162748845,59.29901023506917,59.429310538747046,59.54712630750197,59.657800022494655,59.652063884827356,59.75750759194691,59.58508604206501,59.54740749072096,59.91648858396131,59.539871780452145,59.60296929479249,59.940670340794064,59.73405691148352,59.3333145877854,59.996232144865594,59.79737937239906,60.06754020920032,59.69980879541109,60.154538297154424,59.8527724665392,59.51310313800472,59.20582611629738,58.96395231132606,58.91873804971319,58.81110111348555,58.95911595995951,58.93920818805534,59.42559892025644,59.129569227308515,59.40473512540772,59.40209200314925,59.252390057361374,59.393487796648294,59.295973456304125,59.82049263299966,59.6764705882353,59.37116184906085,59.81638735800247,59.55353728489484,59.604150264312224,59.39129456754021,59.491339556855245,59.44320098976493,59.58255539309414,59.54335845236756,59.47002586885615,59.58182431672478,59.63749859408391,59.51951411539759,59.57642559892026,59.61314812731976,59.72691485772129,59.580755820492634,59.53779102463165,59.2636373861208,59.70082105499944,59.402935552806206,59.56630300303678,59.39888651445282,59.59070970644472,59.30362163986053,59.52418175683275,59.47789899898774,59.81936790012372,59.18732426048813,59.5774378585086,59.57507591946913,59.30165335732764,59.41159599595096,59.69665954335845,59.3274659768305,59.223484422449665,59.69452255089416,59.31880553368575,59.49207063322461,59.2751658980992,59.39894275109661,59.45225508941626,59.32088628950624,59.25075919469126,59.631874929704196,59.26133168372512,59.15442582386683,59.27870880665842,59.21842312450793,59.34045664154763,59.20976268136317
6,65.47633783681788,65.28605932523209,65.29247490376632,65.0415880443807,65.16174805645709,65.12008453468187,65.52637934938485,65.29096535587591,65.34734696958262,65.5180013585931,65.35866857876066,65.00701939769039,65.72405464563363,65.50894407125067,65.29466374820741,65.13774624499962,65.25171711072534,65.23050796286512,65.23918786323496,65.01252924749038,65.1710317759831,65.49852819080685,64.98905577779455,65.12831157068457,64.8363650086799,64.9803758774247,64.89659596950713,59.44818476866178,59.7432259038418,61.094950562306586,61.57906257076006,62.426296324250885,62.881123103630465,63.290889878481394,63.41354064457695,63.86768812740584,64.00060381915617,64.1673333836516,63.84655445694015,63.9469393916522,64.48320627971923,64.32643973130048,64.03351196316703,63.94075024530153,64.04611668805192,63.82904370141143,64.39882255264548,64.37444335421542,64.64744509019549,64.16454072005435,64.80224922635671,63.002792663597255,58.67371122348857,59.16174805645709,59.93576873726319,60.532568495735525,61.13978413465167,61.77719073137595,62.095780813646314,62.59483734621481,62.78104007849649,63.091855989131254,63.07404332402445,63.04830553249302,63.11268775001887,62.89289757717564,63.61831081591063,63.468488187787756,63.14159559212016,63.783757264699226,63.4300701939769,63.540871009132765,63.112008453468185,63.48214959619594,63.76247263944449,63.54683372329987,63.720809117669255,63.5395124160314,63.75417012604725,63.87380179636199,63.86708430824968,63.801268020227944,63.844290135104536,63.86217827760586,63.65597403577628,63.76707676051023,63.561476337836815,63.856970337383956,63.64827534153521,63.77907766623896,63.63868971243113,63.97358291191788,63.59302588874632,63.60563061363122,63.56381613706695,64.0894407125066,63.533776134047855,64.0215110574383,63.73401766171032,63.69846780889124,63.76760510227187,63.88331194807155,63.817722092233375,63.50222658313835,63.995924220695905,63.61544267491886,63.57279794701487,63.55641935240396,63.71711072533776,63.66238961431051,63.547739452034115,63.6148388557627,63.76345384557325,63.57868518378746,63.280021133670466,63.43369310891388,63.38946335572496,63.64872820590233,63.63989735074345
7,61.36571402399927,61.21397819913896,60.833882934872214,60.90491893377301,60.91133095172666,60.96858111202712,61.19414674361088,60.89369790235413,61.04580012824036,61.05092974260328,60.986397361912616,60.66181185307319,61.31611248511496,60.99184757717322,60.98103874690849,60.96317669689475,60.97215352202986,60.85467619309334,61.01680864706421,60.84551616744527,60.92452138865989,61.070303196848954,60.578455619675736,60.83695154346432,60.65127782357791,61.069661995053586,60.76669414674361,60.56123477145736,60.20907758541724,59.91201795365027,59.47833653934231,59.80200604561693,59.817761289731614,60.08495923788587,60.125858752404504,60.313318677292294,60.38943849042777,60.58573784006595,60.32728771640561,60.280296784830995,60.60140148392416,60.37253824310708,60.16075845012366,60.38646148209215,60.3244481084547,59.79440322432903,60.44329944123844,60.514976641934595,60.69932215810204,60.22318402491527,60.79797563433178,60.439131629568564,60.32064669781075,59.50819822295502,59.12512595035266,59.27081615828524,59.32101309883668,59.33305853256389,59.65988824768709,59.82664651461024,59.93052120545938,60.26426673994687,60.09027205276175,60.13387377484657,60.00787762205734,59.987771365759826,60.63474397728314,60.438490427773196,60.14834661537052,60.60456169277274,60.402125125950356,60.339745351286986,60.10414949161858,60.247687093523865,60.21439040029312,60.103691490336175,60.239259869927636,60.03233489053769,60.294174223687826,60.35714940001832,60.21063478977741,60.304021251259506,60.172529083081436,60.461344691765134,60.22414582760832,60.27342676559494,60.117523129064764,60.40276632774572,60.02038105706696,60.26128973161125,59.9841073555006,60.21635980580746,60.02335806540258,60.11990473573326,60.200787762205735,60.34721077219016,59.975176330493724,60.07382980672346,60.20669597874874,59.89053769350554,60.09984427956398,60.3142346798571,60.12764495740588,59.99331318127691,60.38430887606485,59.99752679307502,59.986351561784375,60.03970871118439,60.12677475496931,60.07208940185033,59.93290281212787,59.99459558486764,60.18805532655492,59.84437116423926,59.75208390583494,60.047357332600534,59.80136484382156,60.170422277182375,59.993404781533386
8,64.91409119412344,64.6497805249485,64.66581564095674,64.40620800859983,64.54828451133208,64.60521365224402,64.92618471736988,64.43236585147362,64.64373376332527,64.62492161605303,64.69269013705993,64.30292036190988,65.01240705903432,64.71513034130611,64.65193048463675,64.53108483382603,64.4776493774075,64.341754008779,64.41341933172086,64.35528083848428,64.51993191794321,64.69627340320703,64.26122010212309,64.32742094419064,64.1711009585237,64.44477291050792,64.31613365582729,61.8148795126758,59.72090835796829,60.54335752037983,60.91341933172087,61.61036459733047,62.28025620352952,62.64274836513482,62.93397832123981,63.30869837857207,63.45588103556392,63.45090925378482,63.42587118158201,63.4490280390576,63.587566066469584,63.665770850129896,63.55218131326704,63.75942846904954,63.5341754008779,63.21360745319359,63.904371584699454,63.8565797724626,63.976036907641316,63.58671504075965,64.10243662098003,63.678715399086265,59.68834542685658,58.801755800412074,59.567499776045864,60.28598942936487,60.82249395323838,61.39680193496372,62.10664695870286,62.69273492788677,62.759965958971605,62.935590791006,63.02517244468333,62.92170563468601,62.94302606826122,62.97881393890531,63.33512496640688,63.35138403654931,63.08241512138314,63.700931649198246,63.451177998745855,63.41395682164293,63.12693720326077,63.13983696139031,63.111126041386726,63.28312281644719,63.23488309594195,63.23094150318015,63.277703126399715,63.17804353668369,63.33888739586133,63.109737525754724,63.07887664606289,63.36168592672221,62.988040849234075,63.10145122278957,62.834229149870104,63.20312639971334,62.86343276896891,63.07636835975992,62.843993550120935,63.052450058228075,62.77573233001881,62.96009137328675,62.94616142613992,63.23877989787692,62.76731165457314,62.91722655200215,62.891964525665145,62.6448087431694,62.84278419779629,62.98866792080982,62.64525665143778,62.629803816178445,63.08411717280301,62.65497626086177,62.608841709217955,62.7406163217773,62.637866165009406,62.70733673743617,62.56400609155245,62.70442533369166,62.74415479709756,62.73976529606737,62.37252530681717,62.549180327868854,62.499552091731616,62.696139030726506,62.571530950461344
9,66.65716775152478,66.3576956588591,66.10219875967402,65.96955563528266,66.09215314438009,66.24683511865102,66.42601609348573,65.99651478653068,66.26667008354262,66.21085541489417,66.36851007124186,65.895392342781,66.3973655886423,66.3607708472144,66.2257700784173,66.13582081902517,66.17902721541694,66.20285992517042,66.1366921223925,65.88534672748706,66.18363999794987,66.40249090256778,65.87673620009225,66.14386756188817,65.87858131310543,66.1093741991697,65.9742709240941,65.51125006406643,64.00548408590026,61.75613756342576,60.51904054123315,60.711701091691864,61.31715442570857,61.730357234380605,62.44943877812516,63.073804520526885,63.44784993080826,63.70503818358875,63.89831377171852,63.95325713699964,64.40776997591102,64.21587822254114,64.1336169340372,64.63630772384809,64.51427399928245,64.11429450053816,64.83424734765005,64.9781149095382,65.25980216288248,64.99277330736507,65.46870995848495,65.07600840551484,65.03961867664394,62.82502178258418,60.56993490851315,59.62380195786992,60.001947619291684,60.58295320588386,61.171339244528724,62.09522833273538,62.345753677412745,62.89816001230076,63.255701911742094,63.19240428476244,63.31182409922608,63.49423402183384,64.0525857208754,63.87202091128081,63.70908718158987,64.22592383783507,64.08569524883399,64.15888473168981,64.00743170519195,64.225103787607,64.19870842089078,64.47163138742248,64.44615857721286,64.43472912715904,64.7699246578853,64.65557890420789,64.74798831428426,64.75634257598279,64.7189277843268,64.90784685561991,64.67100609912357,64.83250474091538,64.6047870432064,64.94341653426272,64.64927476807955,64.87150837988827,64.7572138793501,64.94316026856644,64.83778381425863,64.92276151914305,64.89031828199477,65.20870278304547,64.83004459023115,65.08497770488442,64.92619547947312,64.83245348777612,64.97329711444826,65.18297370713957,64.86986827943211,64.87007329198913,65.27374301675978,64.99092819435191,64.91092204397519,64.88796063758905,65.19850340833376,65.08964174055662,64.9619189175337,65.01101942493978,65.26118599764236,65.11455076623443,64.82686689559736,65.04582030649377,65.02429398800676,65.16626518374251,65.10327507559838
