frame,minutes,is_stim_onset,in_analysis_window
0,0.0,False,True
1,0.21666666666666667,False,True
2,0.55,False,True
3,0.8833333333333333,False,True
4,1.2166666666666666,False,True
5,1.5333333333333334,False,True
6,1.8666666666666667,False,True
7,2.2,False,True
8,2.533333333333333,False,True
9,2.85,False,True
10,3.183333333333333,False,True
11,3.5,False,True
12,3.816666666666667,False,True
13,4.133333333333334,False,True
14,4.45,False,True
15,4.783333333333333,False,True
16,5.1,False,True
17,5.433333333333334,False,True
18,5.75,False,True
19,6.066666666666666,False,True
20,6.4,True,True
21,6.733333333333333,False,True
22,7.066666666666666,False,True
23,7.416666666666667,False,True
24,7.733333333333333,False,True
25,8.066666666666666,False,True
26,8.383333333333333,False,True
27,8.7,False,True
28,9.016666666666667,False,True
29,9.35,False,True
30,9.666666666666666,False,True
31,9.983333333333333,True,True
32,10.333333333333334,False,True
33,10.683333333333334,False,True
34,11.0,False,True
35,11.316666666666666,False,True
36,11.633333333333333,False,True
37,11.966666666666667,False,True
38,12.283333333333333,False,True
39,12.6,False,True
40,12.916666666666666,False,True
41,13.25,False,True
42,13.566666666666666,False,True
43,13.883333333333333,False,True
44,14.216666666666667,False,True
45,14.516666666666667,False,True
46,14.85,False,True
47,15.183333333333334,False,True
48,15.5,False,True
49,15.816666666666666,False,True
50,16.15,False,True
51,16.483333333333334,False,True
52,16.816666666666666,False,True
53,17.133333333333333,False,True
54,17.45,False,True
55,17.766666666666666,False,True
56,18.1,False,True
57,18.416666666666668,False,True
58,18.733333333333334,False,True
59,19.05,False,True
60,19.383333333333333,False,True
61,19.716666666666665,False,True
62,20.033333333333335,False,True
63,20.35,False,True
64,20.666666666666668,False,True
65,20.983333333333334,False,True
66,21.316666666666666,False,True
67,21.633333333333333,False,True
68,21.95,False,True
69,22.3,False,True
70,22.6,False,True
71,22.933333333333334,False,True
72,23.3,False,True
73,23.6,False,True
74,23.9,False,True
75,24.216666666666665,False,True
76,24.533333333333335,False,True
77,24.833333333333332,False,True
78,25.15,False,True
79,25.466666666666665,False,True
80,25.8,False,True
81,26.116666666666667,False,True
82,26.433333333333334,False,True
83,26.733333333333334,False,True
84,27.05,False,True
85,27.366666666666667,False,True
86,27.683333333333334,False,True
87,28.0,False,True
88,28.316666666666666,False,True
89,28.65,False,True
90,28.966666666666665,False,True
91,29.283333333333335,False,True
92,29.6,False,True
93,29.916666666666668,False,True
94,30.25,False,False
95,30.566666666666666,False,False
96,30.883333333333333,False,False
97,31.2,False,False
98,31.533333333333335,False,False
99,31.883333333333333,False,False
100,32.21666666666667,False,False
101,32.55,False,False
102,32.86666666666667,False,False
103,33.18333333333333,False,False
104,33.5,False,False
105,33.81666666666667,False,False
106,34.15,False,False
107,34.46666666666667,False,False
108,34.78333333333333,False,False
109,35.11666666666667,False,False
110,35.43333333333333,False,False
111,35.75,False,False
112,36.06666666666667,False,False
113,36.38333333333333,False,False
114,36.7,False,False
115,37.016666666666666,False,False
116,37.35,False,False
117,37.68333333333333,False,False
118,38.0,False,False
119,38.333333333333336,False,False
120,38.65,False,False
121,38.96666666666667,False,False
122,39.28333333333333,False,False
123,39.6,False,False
124,39.93333333333333,False,False
125,40.25,False,False
126,40.56666666666667,False,False
127,40.9,False,False
128,41.21666666666667,False,False
129,41.53333333333333,False,False
130,41.85,False,False
131,42.166666666666664,False,False
132,42.5,False,False
133,42.81666666666667,False,False
134,43.13333333333333,False,False
135,43.45,False,False
136,43.766666666666666,False,False
137,44.1,False,False
138,44.43333333333333,False,False
139,44.75,False,False
140,45.06666666666667,False,False
141,45.38333333333333,False,False
142,45.7,False,False
143,46.03333333333333,False,False
144,46.333333333333336,False,False
145,46.666666666666664,False,False
146,46.983333333333334,False,False
147,47.3,False,False
148,47.61666666666667,False,False
149,47.916666666666664,False,False
150,48.266666666666666,False,False
151,48.583333333333336,False,False
152,48.9,False,False
153,49.233333333333334,False,False
154,49.55,False,False
155,49.86666666666667,False,False
156,50.18333333333333,False,False
157,50.5,False,False
158,50.81666666666667,False,False
159,51.13333333333333,False,False
160,51.45,False,False
161,51.766666666666666,False,False
162,52.083333333333336,False,False
163,52.416666666666664,False,False
164,52.733333333333334,False,False
165,53.05,False,False
166,53.36666666666667,False,False
167,53.68333333333333,False,False
168,54.0,False,False
169,54.333333333333336,False,False
170,54.65,False,False
171,54.983333333333334,False,False
172,55.31666666666667,False,False
173,55.65,False,False
174,55.96666666666667,False,False
175,56.3,False,False
176,56.61666666666667,False,False
177,56.93333333333333,False,False
178,57.25,False,False
179,57.583333333333336,False,False
180,57.88333333333333,False,False
181,58.2,False,False
182,58.516666666666666,False,False
183,58.833333333333336,False,False
