frame,bg_sampled_mean,bg_fit_min
0,35.414024,26.890481740661254
1,35.764103,27.121101833945215
2,35.365158,26.789506882868704
3,35.483677,27.267023236897167
4,35.47367,27.285432211983625
5,35.43915,27.126310413306285
6,35.413082,27.19621496302458
7,35.36647,27.25846340264243
8,35.47112,27.326652551811712
9,35.296856,27.149895984706543
10,35.44291,27.36053073880946
11,35.389477,27.043114216098424
12,35.420143,27.329588590863747
13,35.509453,27.313916534353787
14,35.41653,27.030955789811845
15,35.368973,27.2108789592531
16,35.313183,27.065798739516993
17,35.37488,27.345372115639794
18,35.564182,27.297418617734802
19,35.564384,27.290200751421516
20,35.54998,27.32008691102653
21,34.97818,26.98621919915382
22,35.173817,26.844858578826177
23,36.592068,28.412663514523715
24,35.069233,27.120470413898033
25,35.21117,27.19459303103767
26,35.248978,27.07475610556422
27,35.500458,27.341645011125923
28,35.3473,27.385037788669717
29,35.317257,27.131857958921188
30,35.055256,26.859502016427918
31,35.261208,27.225523793639443
32,34.978794,26.904137021205514
33,35.38016,27.39727922701167
34,34.989056,26.829419254658045
35,35.24378,27.086592027026068
36,35.061344,26.988959488183845
37,35.132687,26.792080214499315
38,35.13393,27.137520584359383
39,35.13956,27.055824016638464
40,35.258156,26.942379496286836
41,35.054646,27.14355016138076
42,35.24609,27.203746657981526
43,35.041874,27.021863571390007
44,35.09711,26.959221652429406
45,35.12765,27.032582574550503
46,35.194763,27.30995940646957
47,35.111,27.154076142231247
48,35.086845,27.026768676227597
49,35.09482,27.18774157725111
50,34.842796,26.687925643696722
51,35.157642,26.961550356347104
52,34.97227,26.89755867537609
53,35.260174,27.26717236583187
54,35.102257,27.04316446450936
55,34.99109,26.990785582233066
56,34.907837,26.90350263284415
57,35.084682,27.13458690741257
58,35.104595,27.127122499305926
59,34.82022,26.732197218837825
60,34.958218,26.93910816208355
61,35.035255,26.89868925297762
62,35.19649,26.90980244723712
63,35.078873,26.944744128044714
64,35.245808,27.063035948202046
65,35.305183,27.286971895538045
66,34.926403,26.91422292921217
67,35.24212,27.08926709253522
68,35.104877,27.05680278049699
69,34.98579,26.9734047075024
70,35.13758,27.01198456728074
71,35.058987,26.83260802128906
72,34.877274,26.824426604470165
73,35.02108,26.992399010316756
74,34.965237,26.78138304266657
75,35.00311,27.020352994927922
76,35.154804,27.068752942973674
77,34.996647,26.92163676434825
78,34.86285,26.740975262687193
79,35.13778,27.03331192643439
80,35.039536,27.001764961749853
81,34.865276,26.96019933933156
82,35.020367,26.96148782206592
83,35.03802,27.092019006870423
84,35.34685,27.503327484343494
85,34.877144,26.69364223402453
86,34.973858,26.595229091717286
87,35.083035,26.92688076587899
88,35.047913,26.904682565299105
89,35.04573,26.79273524967987
90,35.1784,27.021599593129352
91,34.867767,26.794410609126768
92,35.06543,27.0060291665534
93,35.18777,27.22407858997753
94,34.91942,26.684826191536864
95,35.05752,26.914280319209016
96,35.21994,27.03188180092205
97,34.897892,26.58538428643025
98,35.059753,26.816904701663255
99,35.330162,27.080017408558145
100,35.20855,27.254817964380535
