cell_id,f0,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23,f24,f25,f26,f27,f28,f29,f30,f31,f32,f33,f34,f35,f36,f37,f38,f39,f40,f41,f42,f43,f44,f45,f46,f47,f48,f49,f50,f51,f52,f53,f54,f55,f56,f57,f58,f59,f60,f61,f62,f63,f64,f65,f66,f67,f68,f69,f70,f71,f72,f73,f74,f75,f76,f77,f78,f79,f80,f81,f82,f83,f84,f85,f86,f87,f88,f89,f90,f91,f92,f93
0,40.381513549357,40.49949220445949,41.477832522473356,41.76274734669694,41.41574287845622,41.05100499089252,41.216558645384254,41.308602179330414,41.41587279058118,41.16065154419782,41.860763185030066,41.26458618389269,41.21933872897128,41.526549742220574,41.48920224706937,41.28172227233732,41.57041887795187,41.3198943855288,41.58299125039506,41.3316681227054,41.211348673681776,41.08446666309129,41.48483095970052,41.59223584939913,40.71051949602428,40.077690096123035,39.48396902718742,39.98642944184324,39.974736870470814,40.3994291305461,40.85241352988362,40.788279844961146,41.419844510886406,41.06887605447144,41.26907563061343,41.22664706679396,41.20453514225145,40.66873165040707,40.87431379153425,40.551955232974905,41.135024832117345,40.70332086044481,40.887636530216746,40.59627248944372,41.00189715168765,40.78094756022273,40.75328018470237,41.125543818644566,41.13487255086265,41.265126094679125,41.22334905375869,41.116874753371256,40.78804244986069,40.995504918213925,40.663849180165776,40.54263928348048,40.474831079960126,40.7614757224186,40.89953976558767,40.82008583957632,40.96825919499537,40.66873538434759,41.12343116341007,41.00209179632453,41.0764778538673,40.75294307595185,40.939176097791446,41.126349944202516,40.82249534973293,41.09875467682066,40.75069147410187,40.63154590700622,40.690685438814434,40.593220320458705,40.32650899897326,40.20643355803888,40.5924410466508,40.843615584778945,40.48948681343651,40.605178526323,40.72108347495715,40.78047939529113,40.78315317088296,40.51460920620863,41.21780902405816,40.82190474244202,41.01545782856928,40.444834190094156,40.853327311903215,40.89838948857804,41.06647055747209,40.82155999962729,40.95909417542315,40.98337421044482
1,41.10791884576628,41.17291673793385,41.53160644136514,42.44771414693044,42.04272782398405,41.50185468144428,41.67878687465342,42.02082425595787,41.881499367242995,42.12555675106889,42.55093721581201,42.17804706473956,41.78324520402023,42.375429243290945,42.12887350276434,41.85594425784741,42.17611749439126,41.79068314382666,42.29332015118019,42.2841035890516,42.09670502124454,41.92225059283186,42.01287650851458,40.62307420751566,39.732254742530806,39.207328226343726,39.00718304835291,39.76850658406206,39.82101023696402,40.59766806941747,40.949425831889656,40.93236734321298,41.747065325665446,41.56965325549436,41.75604302872134,41.60943151414684,41.3390260971315,39.64723756039294,40.076781239349714,40.07526398325317,41.23569470617883,41.184719462512845,41.38627246033729,41.16726751863778,41.61097241527272,41.604812396484625,41.399148264517,41.72908423493591,41.66371549267847,41.875213729920645,41.733203872582344,41.0817090604661,39.41143250885179,39.69588702922459,39.900176056767904,40.36355519177945,40.63287939350109,41.2698277177747,41.28101788993735,41.3037827219976,41.357564868262685,41.17468344713144,41.505540321460714,41.46530155753029,41.33985037985749,41.19903954463359,41.52943291801501,41.765904723206525,41.55658093848456,41.228502194517475,39.557320878156276,39.424523465957186,40.00935956569548,40.15383514118533,40.30029913939127,40.534562410305455,40.91287932288265,41.336482943657856,41.03042887156148,41.22498955079332,41.45984726654049,41.39904387658207,41.15956553556954,40.97275280297924,41.60607065239103,41.378776882868344,41.55629771315579,40.98963473881062,41.156469398919576,41.50940031902044,41.71939071170893,41.599770929604134,41.593065791784795,41.3026451608649
2,40.70333442152366,40.78272732644009,41.400293958542335,41.48799218646438,41.35141595947145,41.084207888342966,40.96183964394332,41.283774228773325,41.31886434537864,41.031455304369864,41.549047794232834,40.96445050714575,41.1412829370895,41.32141162919361,41.31845201804245,41.128845428314435,41.59607666400358,41.20667538600567,41.35142260819853,41.16624540373066,41.0689030090764,40.840257026477154,41.06738213175196,41.01689719116057,40.36513527155963,39.97781475747795,39.9645581375248,40.60346746208611,40.59398774727562,41.01605766161159,41.06253876510128,40.95282492923537,41.45341308578581,41.03387825429161,41.22521621408118,41.22760222563025,41.25681941664002,40.27853111691449,40.77127972284388,40.33848265070455,41.16626776500248,40.93179941612254,41.067622644077545,40.61934867732716,40.7885673334266,40.69847324199275,40.347007554449554,40.841425030177575,40.775932309528876,40.94668609501298,41.067253191280855,40.76700937793339,40.10332836528429,40.38699874118599,40.38210547211203,40.48709989518005,40.331067598178585,40.74259371974121,40.90697168684994,40.637309978651594,40.62445095268537,40.37199230643167,40.74231629956966,40.70893436518719,40.725377336540824,40.491048698140666,40.594592554519615,40.881664693275134,40.551745459582115,40.66677456362588,40.05855130747107,40.28697898082483,40.61692129909455,40.34681019816154,40.33905885755046,40.26352158051789,40.410872860958165,40.61638424389886,40.17670327950887,40.13535074705037,40.63904655935136,40.56996928906203,40.26459944493479,40.10068232559026,40.79266937108747,40.44147553616782,40.585133527748496,40.12321993939098,40.357854004270436,40.55541046891172,40.592030057544335,40.40405056184949,40.520923694983146,40.40355853916802
3,40.36802683944777,40.42802801846734,40.44072900072108,40.86653009225514,40.72119189668043,40.62637177447331,40.520144538254826,40.72236937576875,40.6053701025619,40.47900247349005,41.20802793721123,40.506030222826475,40.55652990360237,40.91895110123133,40.929261698637724,40.673002883525164,40.639821980075425,40.624497208346256,40.83944170894634,40.719149906775776,40.5271929916807,40.541157439907266,40.116313943938806,39.75294625353256,38.817109855616366,38.793843413396765,39.038748554464206,39.73934602411694,39.73003557772619,40.37541610150306,40.61449132639719,40.23956116715871,40.96411202217479,40.41489088167774,40.710978126073,40.56905230005156,40.30504643478358,39.156291669288834,39.876827685707184,39.84052834529916,40.62544480506069,40.31483122255888,40.527556707559846,40.246061821390406,40.41472651817243,40.25316841187776,40.187099612306675,40.553524950823565,40.4632826366849,40.574566508475435,40.85890365308328,39.95516989887149,39.14331152979248,39.770508421177084,40.01379287491083,40.057769833894234,40.12211794098471,40.5505415366928,40.457062145644635,40.576539562748756,40.63563114941574,40.24751300594493,40.78619861672186,40.52625734720973,40.66747955869663,40.358546443408166,40.61575700217406,40.81561342944773,40.69734946679621,39.86096511784439,39.31461809464781,39.57781784784216,40.12975313977106,40.199516738233555,40.06960521843491,39.96049331747037,40.28309740497494,40.46986979599879,40.169533825071035,40.29565506750175,40.58087948662249,40.46667915384226,40.41209102192794,40.32840403615581,41.10648678634017,40.76331096304453,40.87917509111707,40.1123045323555,40.526890166330695,40.65672758520458,40.90457891627623,40.59111814050984,40.78995118300187,40.44798792815759
4,38.221307198912164,38.562266725459565,39.336680506840224,39.927028683543405,39.512799595923575,39.12772871023449,39.18621266981999,39.3201682614994,39.52934614512595,39.275365036917364,39.73250500168381,39.300236181500274,39.34169947666344,39.41794358224513,39.44801511880447,39.228898372140065,39.51963532840886,39.23128106304646,39.53857798119466,39.30579773851133,39.27775292447367,38.91350080092915,39.288893540950795,39.5698572743255,38.94349416319773,38.55735772292045,37.810583162624404,38.22595417020813,38.18447199859836,38.527440508063734,38.8422227562391,38.78642180407216,39.307260779599275,38.86039019322042,39.14036722066146,38.94378725135851,39.16547305617888,38.729937088148134,38.74182850432517,38.363338685130756,39.196656446434545,38.654278691602414,38.73699129031572,38.538854183206745,38.84889159158479,38.77039622483515,38.60544987182108,38.92002457363272,38.764589310312275,39.019759419055696,38.990342930914025,38.83890460289469,38.71374872584794,38.90043338478056,38.71589434520691,38.36519959198991,38.250117137219746,38.80019732940712,38.62128429835054,38.65265721810392,38.783807764144434,38.524872640484176,38.78007388568733,38.864207353210126,38.90127947528614,38.54604896374774,38.687398361026546,38.97019409687702,38.76667177107112,38.875259539292195,38.57936293601928,38.72497550776271,38.76754015974417,38.5159150361202,38.4196510671676,38.204573586461336,38.49809241257584,38.608285103307274,38.32317536974622,38.41867752038755,38.786332035321955,38.58041053167423,38.67187381720792,38.40924922227141,39.15527176896358,38.61871811963154,38.979728154761965,38.28702149421574,38.60684262251013,38.55151512826063,38.875721548587315,38.63262892998196,38.73111836564606,38.73457893651789
5,40.717681981570756,41.1781207314767,41.54630175110618,42.40454564087166,41.88548466308708,41.50949477818886,41.80478117143884,41.72103870781807,41.93516762484711,41.77970839940472,42.34031960161089,41.85560541199972,41.84132157431651,41.97423836434945,42.13223016180252,41.58715379625661,41.91366915519249,41.862424064413254,42.19634414065167,42.02740505638159,41.5749272183634,41.506641620007244,41.74704570561295,40.52231860488706,39.386595927696156,38.95214300091853,38.909166400175636,39.5437934512183,39.2832496220152,40.399420734606785,40.444267163512855,40.72546038662948,41.40920032101622,41.38286975465141,41.35046842127097,41.506365175450085,41.053022646558404,39.41768040158331,39.832683043208235,39.95965995730074,41.10333341898043,40.75440573503271,41.193498621652694,41.10024261281308,41.27957094394249,41.21186795279388,41.160148776924686,41.24467527707934,41.38841577002437,41.69680667218059,41.22537271484287,41.16508281763621,39.70877690429917,39.50817803323902,39.80613027119457,40.14772221605094,40.40401432938594,41.05163218997488,41.126279909691995,40.78975958624123,41.06682424566069,40.902740846997396,41.12278595820123,41.43031779078736,41.27404499445068,40.84560189290846,41.155020754284074,41.69334318103764,41.223226665145084,41.07228262374523,39.43399030684253,39.483355309193655,39.942636128662514,40.294111898972155,40.43763583225595,40.342747658938386,40.90510256071719,41.07129435220189,40.61281482373522,40.754769901661966,41.184173473959035,41.01659653119908,40.908953183155305,40.71743053379764,41.485320015790364,41.29108017887737,41.14852685063613,40.67149944860729,41.03720454878693,41.42151610197558,41.4430902405256,41.402978914380604,41.39085702435543,41.07402931733307
6,47.53726429472806,52.10607481573024,52.571471328838925,53.085332740069894,53.20247993634596,53.240860909440556,53.45911398345372,54.093458472634985,54.072615693996866,53.83153881518446,54.2215558138403,54.13545530908125,53.897022931591096,54.225975580429214,54.040109051341574,54.0370126262649,54.19483022063347,53.933251694102495,54.1283713293245,54.08681256122701,53.96912035414776,53.92293775321119,52.78400225718317,48.79007597719612,44.622923718824524,42.7945989278901,44.334561923832844,47.98571437748784,49.44329963449728,50.81611178938574,51.72753648898784,52.33919993226183,53.53847058180411,53.241378864514026,52.854980373732786,53.12992210254794,51.95972756511112,46.759811083485744,48.615102623571254,49.607651801957445,51.537927544117714,52.06026121909801,52.5138650106767,52.431453753641364,53.16091556762054,53.06967686325797,53.084380362694226,53.848096337764076,53.610207810795465,53.8276328003595,53.489263934122775,52.04736751492879,47.704557810704586,49.087225716854356,49.65129877752929,51.29058665739407,51.71434957762832,51.94286778617418,52.381121438661815,52.666760170984865,52.87181425314803,52.54547390097182,53.03513087956387,52.781469361805,53.341842381894644,52.67432017069197,53.101889858915555,53.33124044574144,52.7403481932957,51.009742693426624,46.926880788803835,48.178765990447616,49.53938048512655,50.50242490913679,50.910635219263355,51.15802202418684,51.58900951180207,52.22698584870966,51.85639562369314,51.97489520839045,52.13832853257573,52.201638174518294,52.0539270554942,51.68602698169766,52.64273202882528,52.35751502193275,52.22099704031961,51.756302760616705,51.87145332173322,52.14017946978551,52.10981225783177,51.99208324026681,52.41819094026567,51.91886750894137
7,38.52024567208855,38.05779950719561,38.09482401384589,38.353408337121984,38.127559359357655,37.74794048075401,37.676697778067165,37.78215072378234,37.99540221554132,37.76791104126121,38.283884164650246,37.70744646660113,37.6751925964634,38.167778409201496,37.88526770483555,37.78942414081425,37.75523471622095,37.67680836066827,38.22738372802665,37.88713816509727,37.59416296269356,38.11415619500485,37.419062331660804,37.729692878480165,37.523848997914,37.464025883789304,37.46728134531018,37.69365661322837,37.792720228008264,37.877769301637066,38.075118882419105,37.82443081349138,38.27139250872116,37.900231353067376,38.013774112140965,38.0975183982466,37.517533193451676,37.08863504487151,38.11058342999865,37.56658694901531,38.12262261029352,37.84130048895141,37.83421603847355,37.6032181891688,37.53797943100707,37.42743353908784,37.354059051688075,37.69455211235319,37.59762626686571,37.70506273211151,38.11240744874751,37.18037381822858,37.074813491330694,37.84798028121378,37.68721032441218,37.582761275214125,37.41691470396712,37.87925067082702,37.878096148905755,37.64286153292146,37.96687574841081,37.336874437161285,37.82771380372904,37.713021127679255,37.64350164733383,37.42405084280858,37.643845050339536,37.81731534361705,37.80897393056073,37.39249967113045,37.30331152392843,37.77365451730019,37.68576923374271,37.761415736148386,37.50561642190096,37.27574261611501,37.665867120010944,37.63867346679639,37.1982948948021,37.487617999233876,37.60013281944145,37.44577180648564,37.52317426172179,37.176178130247585,37.83346554577005,37.53440637564957,37.81709026609054,37.20963164099264,37.49219305138759,37.557993839649036,37.664681906374824,37.59261121671963,37.62696376434391,37.339737448753006
8,40.69865529472876,40.87769103315432,41.71339433275123,41.768335572845444,41.50782137861802,41.16601386229331,41.07010136089127,41.49957614932041,41.45043937454643,41.264086284077266,41.82562862203351,41.268758911147,41.311439270545954,41.61753171162322,41.66846495219252,41.22554031572758,41.452861985774874,41.33331163971012,41.51802017964281,41.389166254023365,41.35955465679645,41.24275608119604,41.51348170709036,41.375130700849056,40.41894550747939,39.737559113543725,39.57739898371668,40.22531028533196,40.23420208631803,40.72677792202888,40.92938919102561,40.92111153770431,41.51245073460889,41.169284497107675,41.37007413686393,41.15782748085429,41.2413772955775,40.50250154135645,40.77224441390218,40.359782214390144,41.145811780631554,40.883330445527385,41.00248799666898,40.802690240523084,40.859321043721394,40.68206955587562,40.75413616973116,40.94467902020663,40.95589276030031,41.2521301844084,41.14075266391522,40.96409381483727,40.7358858033308,40.69469433968663,40.5169090529095,40.492874349943804,40.53614208241453,40.835033114907546,40.885836297421385,40.85586602055543,40.91705815099432,40.63677218901645,41.022074430311925,40.933039512137704,41.07545738794677,40.711018793362236,40.82459921952701,41.129756489017886,41.01569803348173,41.0041357810355,40.510242440670105,40.587126455046125,40.73999596321752,40.63888732611125,40.53607086298717,40.34525476140316,40.71017250793957,40.95616802416083,40.6053397831281,40.72891369315839,41.0856583162596,40.933509248396604,40.882804229080996,40.67610318688447,41.26427485518084,40.97724329403883,41.11464658613008,40.53783650881981,40.890813694026754,41.07542604403341,41.22751571718837,41.01693766667183,41.08670769441061,40.92483580558243
9,44.224919562415536,44.31441885385172,44.63525087116729,45.4554231507544,44.98677832276075,44.96162944561121,44.73461339482989,44.949196846187704,44.94536804996231,44.7551946771475,45.44545235129537,45.2031665342852,45.26937236134489,45.65676038715778,45.56177619913343,45.24878322570247,45.529370839018036,45.29196242259419,45.63642172452872,45.32999307138773,45.319144343289885,45.249068084547,41.55172589342915,39.6043536449172,38.783068063581105,38.22382360883785,38.36894268047221,39.22629954096916,39.681765389010174,40.02886630409972,40.452908231616746,40.54247953516489,41.18336903872123,41.02698144498335,41.28240881801594,41.081931447822946,40.02165958086035,38.504197295078285,39.26739628588167,39.504844535126324,40.627318803270285,40.35270671728779,40.72327408294912,40.72304219224275,41.048004569288096,40.952259371100766,40.83095038471399,41.15810540171219,41.194818038592636,41.44933020974403,41.268092908281524,39.876149660441094,38.59476496844776,39.352480686979085,39.79759847740869,40.19954795804523,40.41298699753726,41.05155560582695,41.08066177297424,41.14158469313266,41.02410706174015,40.8007364077672,41.37158952087057,41.22521639450616,41.40803594388891,40.970141092397114,41.22978641752343,41.507721433961436,41.31382785603935,39.77370656736227,38.544182011946546,39.147609364105016,39.91945672764251,40.245817284220244,40.456823407153976,40.43966432945468,41.01340233779865,41.15372619833976,40.88034620508954,41.01356898258809,41.223030801354895,41.1382961828816,41.283960781495765,40.78352126893406,41.61458962929326,41.25007510506977,41.345109650681664,40.87298225209219,41.09345543750506,41.27188694870073,41.47214800709841,41.18837618210116,41.25601009635573,41.213636177578465
