frame,bg_sampled_mean,bg_fit_min
0,34.9083,25.229943123949305
1,35.153084,25.481180198857203
2,35.093807,25.500367678086654
3,36.016518,26.643053420630036
4,34.830368,25.572890151048767
5,34.72404,25.65837131467553
6,34.57245,25.44846518836211
7,34.558628,25.302076209365104
8,34.602642,25.41753388763935
9,34.51122,25.513249482855862
10,34.635582,25.409384447646005
11,34.548687,25.359684127692265
12,34.199337,25.07907245280314
13,34.66184,25.65304010670793
14,34.52159,25.31903947962677
15,35.830772,26.94664875314182
16,34.5554,25.4904842643596
17,34.44973,25.410560186540994
18,34.347134,25.401353290551455
19,34.74884,25.562094767794573
20,34.69937,25.54839111111947
21,34.455757,25.53125655083472
22,34.368317,25.228799005541948
23,34.422203,25.460678309263894
24,35.561245,26.556710783517556
25,34.5211,25.40045986952828
26,34.50667,25.463484330082444
27,34.347,25.27904311505243
28,34.290318,25.179850832050107
29,34.482426,25.44073820884311
30,34.359516,25.09595194371635
31,34.370445,25.381926056191038
32,34.446327,25.10582417998867
33,34.27863,25.048789375824956
34,34.19179,25.000437629514416
35,34.441704,25.26791153639862
36,34.595333,25.489224824798455
37,34.298317,25.0419110151733
38,34.25385,25.248283505675655
39,35.660168,26.604953254959163
40,34.446613,25.33424240914644
41,34.3905,25.355843414915746
42,34.408268,25.51364412137523
43,34.090694,25.24706712006434
44,34.133736,25.23839371578187
45,34.258778,25.252370356899185
46,34.431187,25.41291167909037
47,34.42342,25.522557205965196
48,34.208725,24.845965867166257
49,34.26991,25.06626237080286
50,34.271973,24.879733070218816
51,34.25647,24.95185300831255
52,34.180977,24.904126721782543
53,34.08267,24.980306705017604
54,34.376232,25.476229203921246
55,34.263493,25.26307660672311
56,34.408028,25.45076916104393
57,34.23788,25.032904121847974
58,34.21729,25.210477946692553
59,34.089592,25.045110691510835
60,34.26356,25.044638807853968
61,34.271282,25.354391341239282
62,34.255703,25.20135530908159
63,34.06,25.129768430933957
64,34.25635,25.277223214754045
65,34.36954,25.293849893345886
66,34.276127,25.227437970950497
67,34.16131,24.632693525053035
68,34.10454,24.763925034697845
69,34.263638,24.718900646021368
70,34.385326,25.093251442960597
71,34.297005,25.219845237933647
72,34.16698,25.07155298692228
73,33.974293,24.984845607024553
74,34.16038,25.120327749235578
75,34.014725,24.87835649953256
76,34.14364,25.030191502106415
77,34.295773,25.13512619921589
78,34.23033,25.185325006788613
79,34.17177,24.97312976014141
